"especie","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Agapostemon.coloradensis","M_005",2,37,0.0540540540540541,-0.530165987532283
"Agapostemon.splendens","M_005",4,37,0.108108108108108,-0.258285993925984
"Agapostemon.splendens","M_062",1,121,0.00826446280991736,-0.70653148633059
"Agapostemon.texanus","M_062",121,121,1,4.80121606008558
"Agapostemon.virescens","M_073",1,21,0.0476190476190476,-0.560388495410006
"Alloscirtetica.antarctica","M_022",1,3,0.333333333333333,-0.707106781186547
"Alloscirtetica.gayi","M_001",2,16,0.125,-0.487248237697406
"Alloscirtetica.herbsti","M_023",1,4,0.25,-0.833476259898716
"Alloscirtetica.rufitarsis","M_001",3,16,0.1875,-0.248807610739101
"Alloscirtetica.rufitarsis","M_002",1,8,0.125,-0.795637219597602
"Amegilla.albigena","M_015",14,104,0.134615384615385,0.976630087288693
"Amegilla.canifrons","M_039",5,13,0.384615384615385,-0.199455357868471
"Amegilla.canifrons","M_050",2,8,0.25,-0.763762615825973
"Amegilla.dulcifera.subflavescens","M_044",8,21,0.380952380952381,0.583746015446003
"Amegilla.fasciata","M_016",4,14,0.285714285714286,0.404384729131718
"Amegilla.femorata","M_058",4,13,0.307692307692308,-0.478067812690878
"Amegilla.quadrifasciata","M_015",7,104,0.0673076923076923,0.174296737207681
"Amegilla.quadrifasciata","M_050",3,8,0.375,-0.381881307912987
"Amegilla.quadrifasciata","M_039",3,13,0.230769230769231,-0.64822991307253
"Amegilla.quadrifasciata","M_016",2,14,0.142857142857143,-0.3294986681814
"Amegilla.walshii","M_062",23,121,0.190082644628099,0.303222230512374
"Ammobates.oraniensis","M_015",2,104,0.0192307692307692,-0.398798512850184
"Andrena.aburana","M_056",1,22,0.0454545454545455,-0.730844233103581
"Andrena.aburana","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.akitsushimae","M_057",2,37,0.0540540540540541,-0.442799213704871
"Andrena.akitsushimae","M_021",2,25,0.08,-0.405154568376667
"Andrena.alfkenella","M_015",2,104,0.0192307692307692,-0.398798512850184
"Andrena.alleghaniensis","M_033",3,11,0.272727272727273,-1.30328677981716
"Andrena.amamiensis","M_044",2,21,0.0952380952380952,-0.501528266791637
"Andrena.apacheorum","M_005",2,37,0.0540540540540541,-0.530165987532283
"Andrena.arabis","M_062",4,121,0.0330578512396694,-0.568837797670186
"Andrena.arabis","M_025",1,7,0.142857142857143,-1.05740498359024
"Andrena.assimilis","M_016",1,14,0.0714285714285714,-0.696440366837959
"Andrena.athenensis","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.balcanica","M_015",4,104,0.0384615384615385,-0.169560412827038
"Andrena.banksi","M_073",1,21,0.0476190476190476,-0.560388495410006
"Andrena.barbilabris","M_047",1,13,0.0769230769230769,-0.633925273289415
"Andrena.benefica","M_021",1,25,0.04,-0.576679860098175
"Andrena.benefica","M_054",1,24,0.0416666666666667,-0.593486613708003
"Andrena.benefica","M_053",1,15,0.0666666666666667,-0.667699814750755
"Andrena.bicolor","M_015",3,104,0.0288461538461538,-0.284179462838611
"Andrena.bicolor","M_016",1,14,0.0714285714285714,-0.696440366837959
"Andrena.bicolorata","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.bimaculata","M_016",1,14,0.0714285714285714,-0.696440366837959
"Andrena.braccata","M_005",1,37,0.027027027027027,-0.666105984335433
"Andrena.bradleyi","M_033",5,11,0.454545454545455,-0.394016933433096
"Andrena.brassicae","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.brassicae","M_054",1,24,0.0416666666666667,-0.593486613708003
"Andrena.brenihirtiscopa","M_056",1,22,0.0454545454545455,-0.730844233103581
"Andrena.brevihirtiscopa","M_021",3,25,0.12,-0.233629276655158
"Andrena.canadensis","M_005",2,37,0.0540540540540541,-0.530165987532283
"Andrena.caneae","M_015",6,104,0.0576923076923077,0.0596776871961083
"Andrena.carbonaria","M_015",8,104,0.0769230769230769,0.288915787219254
"Andrena.carlini","M_033",5,11,0.454545454545455,-0.394016933433096
"Andrena.carlini","M_062",59,121,0.487603305785124,1.95554649443722
"Andrena.carlini","M_025",7,7,1,1.78338452456265
"Andrena.carlini","M_032",4,6,0.666666666666667,1.38169855941551
"Andrena.carolina","M_033",4,11,0.363636363636364,-0.84865185662513
"Andrena.ceanothi","M_025",1,7,0.142857142857143,-1.05740498359024
"Andrena.chrysosceles","M_007",1,10,0.1,-0.568903074579574
"Andrena.cinereophila","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.clarkella","M_047",2,13,0.153846153846154,-0.253570109315766
"Andrena.clypeata","M_015",6,104,0.0576923076923077,0.0596776871961083
"Andrena.combaella","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.concinna","M_015",3,104,0.0288461538461538,-0.284179462838611
"Andrena.confederata","M_073",1,21,0.0476190476190476,-0.560388495410006
"Andrena.crassana","M_015",4,104,0.0384615384615385,-0.169560412827038
"Andrena.crataegi","M_005",9,37,0.243243243243243,0.421413990089763
"Andrena.cressoni","M_032",2,6,0.333333333333333,0
"Andrena.dentata","M_057",3,37,0.0810810810810811,-0.320095817136051
"Andrena.dentata","M_021",2,25,0.08,-0.405154568376667
"Andrena.dentata","M_053",3,15,0.2,-0.130636920277322
"Andrena.distinguenda","M_015",4,104,0.0384615384615385,-0.169560412827038
"Andrena.dunningi","M_025",1,7,0.142857142857143,-1.05740498359024
"Andrena.edashigei","M_044",3,21,0.142857142857143,-0.32064921975203
"Andrena.edwiniae","M_005",2,37,0.0540540540540541,-0.530165987532283
"Andrena.erigeniae","M_025",4,7,0.571428571428571,0.362989770486203
"Andrena.erythrogastra","M_062",19,121,0.15702479338843,0.119630645631835
"Andrena.erythronii","M_032",1,6,0.166666666666667,-0.690849279707757
"Andrena.esakki","M_044",1,21,0.0476190476190476,-0.682407313831243
"Andrena.flavipes","M_015",16,104,0.153846153846154,1.20586818731184
"Andrena.forbesii","M_032",3,6,0.5,0.690849279707757
"Andrena.fulva","M_047",3,13,0.230769230769231,0.126785054657883
"Andrena.fulvitarsis","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.fuscipes","M_047",1,13,0.0769230769230769,-0.633925273289415
"Andrena.gallinula","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.gardineri","M_005",1,37,0.027027027027027,-0.666105984335433
"Andrena.geranii","M_062",5,121,0.0413223140495868,-0.522939901450051
"Andrena.grossella","M_015",3,104,0.0288461538461538,-0.284179462838611
"Andrena.haemorrhoa","M_006",3,10,0.3,-0.174504949503245
"Andrena.haemorrhoa","M_047",5,13,0.384615384615385,0.887495382605181
"Andrena.haemorrhoa.japonibia","M_021",1,25,0.04,-0.576679860098175
"Andrena.halictoides","M_021",1,25,0.04,-0.576679860098175
"Andrena.halictoides","M_057",4,37,0.108108108108108,-0.197392420567232
"Andrena.halictoides","M_053",1,15,0.0666666666666667,-0.667699814750755
"Andrena.hattorfiana","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.hebes","M_057",2,37,0.0540540540540541,-0.442799213704871
"Andrena.hesperia","M_015",7,104,0.0673076923076923,0.174296737207681
"Andrena.hikosana","M_053",1,15,0.0666666666666667,-0.667699814750755
"Andrena.hikosana","M_021",6,25,0.24,0.280946598509368
"Andrena.hikosana","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.hilaris","M_073",1,21,0.0476190476190476,-0.560388495410006
"Andrena.hirashimai","M_044",1,21,0.0476190476190476,-0.682407313831243
"Andrena.hispania","M_016",4,14,0.285714285714286,0.404384729131718
"Andrena.humilis","M_015",19,104,0.182692307692308,1.54972533734656
"Andrena.hyemala","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.illinoensis","M_062",6,121,0.0495867768595041,-0.477042005229917
"Andrena.imatrix","M_025",1,7,0.142857142857143,-1.05740498359024
"Andrena.imitatrix","M_005",1,37,0.027027027027027,-0.666105984335433
"Andrena.imitatrix","M_073",1,21,0.0476190476190476,-0.560388495410006
"Andrena.impunctata","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.irgeniae","M_032",4,6,0.666666666666667,1.38169855941551
"Andrena.ishiharai","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.ishiharai","M_021",1,25,0.04,-0.576679860098175
"Andrena.japonica","M_054",2,24,0.0833333333333333,-0.404805898367309
"Andrena.japonicum","M_055",1,12,0.0833333333333333,-0.736271454932668
"Andrena.kaguya","M_057",6,37,0.162162162162162,0.0480143725704077
"Andrena.kaguya","M_021",1,25,0.04,-0.576679860098175
"Andrena.kaguya","M_053",2,15,0.133333333333333,-0.399168367514038
"Andrena.Knuthi","M_053",3,15,0.2,-0.130636920277322
"Andrena.Knuthi","M_055",3,12,0.25,-0.0460169659332917
"Andrena.Knuthi","M_021",1,25,0.04,-0.576679860098175
"Andrena.Knuthi","M_054",3,24,0.125,-0.216125183026614
"Andrena.Knuthi","M_044",2,21,0.0952380952380952,-0.501528266791637
"Andrena.komachi","M_053",3,15,0.2,-0.130636920277322
"Andrena.komachi","M_054",1,24,0.0416666666666667,-0.593486613708003
"Andrena.komachi","M_021",3,25,0.12,-0.233629276655158
"Andrena.kriechbaumeri","M_015",3,104,0.0288461538461538,-0.284179462838611
"Andrena.lamiana","M_015",6,104,0.0576923076923077,0.0596776871961083
"Andrena.lapponica","M_047",2,13,0.153846153846154,-0.253570109315766
"Andrena.lapponica","M_056",3,22,0.136363636363636,-0.43632491528572
"Andrena.lewisi","M_005",1,37,0.027027027027027,-0.666105984335433
"Andrena.longitibialis","M_053",4,15,0.266666666666667,0.137894526959395
"Andrena.longitibialis","M_021",1,25,0.04,-0.576679860098175
"Andrena.longitibialis","M_056",1,22,0.0454545454545455,-0.730844233103581
"Andrena.macoupinensis","M_062",4,121,0.0330578512396694,-0.568837797670186
"Andrena.madronitens","M_005",14,37,0.378378378378378,1.10111397410551
"Andrena.mandibularis","M_062",9,121,0.0743801652892562,-0.339348316569512
"Andrena.mandibularis","M_033",6,11,0.545454545454545,0.0606179897589381
"Andrena.mansonii","M_032",3,6,0.5,0.690849279707757
"Andrena.melanochroa","M_004",1,8,0.125,-0.586009038673119
"Andrena.mikado","M_053",4,15,0.266666666666667,0.137894526959395
"Andrena.minutula","M_021",4,25,0.16,-0.0621039849336496
"Andrena.minutula","M_057",11,37,0.297297297297297,0.661531355414506
"Andrena.minutula","M_053",2,15,0.133333333333333,-0.399168367514038
"Andrena.miranda","M_004",2,8,0.25,0.0703210846407744
"Andrena.miserabilis","M_032",2,6,0.333333333333333,0
"Andrena.mitakensis","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.miyamotoi","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.miyamotoi","M_021",1,25,0.04,-0.576679860098175
"Andrena.mocsaryi","M_015",12,104,0.115384615384615,0.747391987265547
"Andrena.mucronata","M_015",6,104,0.0576923076923077,0.0596776871961083
"Andrena.munutula","M_055",1,12,0.0833333333333333,-0.736271454932668
"Andrena.nana","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.nasonii","M_025",3,7,0.428571428571429,-0.110475147539279
"Andrena.nawai","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.nigrae","M_062",5,121,0.0413223140495868,-0.522939901450051
"Andrena.nigrihirta","M_025",6,7,0.857142857142857,1.30991960653717
"Andrena.nigroaenea","M_015",6,104,0.0576923076923077,0.0596776871961083
"Andrena.nigroaenea","M_016",2,14,0.142857142857143,-0.3294986681814
"Andrena.nigroaenea","M_047",3,13,0.230769230769231,0.126785054657883
"Andrena.nivalis","M_004",2,8,0.25,0.0703210846407744
"Andrena.nobilis","M_015",2,104,0.0192307692307692,-0.398798512850184
"Andrena.nothoscordi","M_062",10,121,0.0826446280991736,-0.293450420349378
"Andrena.nubecula","M_062",1,121,0.00826446280991736,-0.70653148633059
"Andrena.okabei","M_053",1,15,0.0666666666666667,-0.667699814750755
"Andrena.oligolege","M_062",1,121,0.00826446280991736,-0.70653148633059
"Andrena.omogensis","M_021",1,25,0.04,-0.576679860098175
"Andrena.opacifovea","M_044",2,21,0.0952380952380952,-0.501528266791637
"Andrena.opacifovea.opacifovea","M_054",4,24,0.166666666666667,-0.0274444676859192
"Andrena.opacifovea.opacifovea","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.opacifovea.opacifovea","M_021",2,25,0.08,-0.405154568376667
"Andrena.optata","M_015",2,104,0.0192307692307692,-0.398798512850184
"Andrena.oralis","M_015",2,104,0.0192307692307692,-0.398798512850184
"Andrena.orientata","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.osyychniuki","M_015",5,104,0.0480769230769231,-0.0549413628154647
"Andrena.panurgimorpha","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.panurgina","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.parathoracica","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.parathoracina","M_056",1,22,0.0454545454545455,-0.730844233103581
"Andrena.perplexa","M_073",1,21,0.0476190476190476,-0.560388495410006
"Andrena.personata","M_032",1,6,0.166666666666667,-0.690849279707757
"Andrena.personata","M_025",1,7,0.142857142857143,-1.05740498359024
"Andrena.personata","M_062",3,121,0.0247933884297521,-0.614735693890321
"Andrena.placida","M_005",1,37,0.027027027027027,-0.666105984335433
"Andrena.platyparia","M_062",1,121,0.00826446280991736,-0.70653148633059
"Andrena.prostomias","M_053",1,15,0.0666666666666667,-0.667699814750755
"Andrena.protomias","M_054",4,24,0.166666666666667,-0.0274444676859192
"Andrena.protomias","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.pruni","M_062",83,121,0.685950413223141,3.05709600372046
"Andrena.prunorum","M_005",4,37,0.108108108108108,-0.258285993925984
"Andrena.pubescens","M_006",2,10,0.2,-0.473656291508807
"Andrena.pubescens","M_007",1,10,0.1,-0.568903074579574
"Andrena.regularis","M_033",7,11,0.636363636363636,0.515252912950972
"Andrena.rufosignata","M_004",1,8,0.125,-0.586009038673119
"Andrena.rugosa","M_032",3,6,0.5,0.690849279707757
"Andrena.rugothorace","M_015",17,104,0.163461538461538,1.32048723732341
"Andrena.salicacea","M_062",27,121,0.223140495867769,0.486813815392913
"Andrena.salicis","M_062",9,121,0.0743801652892562,-0.339348316569512
"Andrena.sayi","M_062",2,121,0.0165289256198347,-0.660633590110455
"Andrena.schmiedeknechti","M_015",6,104,0.0576923076923077,0.0596776871961083
"Andrena.schulzi","M_015",13,104,0.125,0.86201103727712
"Andrena.scita","M_015",1,104,0.00961538461538462,-0.513417562861757
"Andrena.sigmundi","M_004",1,8,0.125,-0.586009038673119
"Andrena.simontornyella","M_015",2,104,0.0192307692307692,-0.398798512850184
"Andrena.spiraeana","M_062",71,121,0.586776859504132,2.50632124907884
"Andrena.spiraeana","M_073",1,21,0.0476190476190476,-0.560388495410006
"Andrena.squalida","M_016",2,14,0.142857142857143,-0.3294986681814
"Andrena.stellaria","M_021",2,25,0.08,-0.405154568376667
"Andrena.sublevigata","M_057",1,37,0.027027027027027,-0.565502610273691
"Andrena.sublevigata","M_021",1,25,0.04,-0.576679860098175
"Andrena.subopaca","M_057",1,37,0.027027027027027,-0.565502610273691
