"ID","DIT.final","Localidad","Latitud","Longitud","sp.armonizado.x","familia","Grado","n.familia","GFE","n.plantas.ID","n.familias.ID","Grado.relativo","Grado.relativo.familias","Z_Grado","Family","Genus","cuantil.grado","cuantil.latitud","sp.armonizado.y","cuantil","T3"
"M_001",1.2,"Cordon del Cepo",-33.28,-70.27,"Anthidium chilensis","Megachilidae",8,7,0.833333333333333,44,17,0.181818181818182,0.411764705882353,1.01104137626528,"Megachilidae","Anthidium",3,1,"Anthidium chilensis",1,"G1"
"M_001",1.237,"Cordon del Cepo",-33.28,-70.27,"Liphanthus sabulosus","Andrenidae",3,3,0.666666666666667,44,17,0.0681818181818182,0.176470588235294,-0.19712127461776,"Andrenidae","Liphanthus",2,1,"Liphanthus sabulosus",1,"G1"
"M_001",1.68,"Cordon del Cepo",-33.28,-70.27,"Ruizantheda mutabilis","Halictidae",2,2,0.5,44,17,0.0454545454545455,0.117647058823529,-0.438753804794369,"Halictidae","Ruizantheda",2,1,"Ruizantheda mutabilis",1,"G1"
"M_001",2.417,"Cordon del Cepo",-33.28,-70.27,"Colletes araucariae","Colletidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,"Colletidae","Colletes",1,1,"Colletes araucariae",2,"G2"
"M_001",3.102,"Cordon del Cepo",-33.28,-70.27,"Alloscirtetica gayi","Apidae",2,2,0.5,44,17,0.0454545454545455,0.117647058823529,-0.438753804794369,"Apidae","Alloscirtetica",2,1,"Alloscirtetica gayi",2,"G2"
"M_001",3.2,"Cordon del Cepo",-33.28,-70.27,"Anthidium decaspilum","Megachilidae",4,2,0.375,44,17,0.0909090909090909,0.117647058823529,0.044511255558849,"Megachilidae","Anthidium",2,1,"Anthidium decaspilum",3,"G2"
"M_001",3.2,"Cordon del Cepo",-33.28,-70.27,"Anthidium decaspilum","Megachilidae",4,2,0.375,44,17,0.0909090909090909,0.117647058823529,0.044511255558849,"Megachilidae","Anthidium",2,1,"Anthidium funereum",3,"G2"
"M_001",3.2,"Cordon del Cepo",-33.28,-70.27,"Anthidium funereum","Megachilidae",7,4,0.56,44,17,0.159090909090909,0.235294117647059,0.769408846088676,"Megachilidae","Anthidium",3,1,"Anthidium decaspilum",3,"G2"
"M_001",3.2,"Cordon del Cepo",-33.28,-70.27,"Anthidium funereum","Megachilidae",7,4,0.56,44,17,0.159090909090909,0.235294117647059,0.769408846088676,"Megachilidae","Anthidium",3,1,"Anthidium funereum",3,"G2"
"M_001",3.3,"Cordon del Cepo",-33.28,-70.27,"Cadeguala occidentalis","Colletidae",4,3,0.625,44,17,0.0909090909090909,0.176470588235294,0.044511255558849,"Colletidae","Cadeguala",2,1,"Cadeguala occidentalis",3,"G2"
"M_001",3.36,"Cordon del Cepo",-33.28,-70.27,"Alloscirtetica rufitarsis","Apidae",3,3,0.666666666666667,44,17,0.0681818181818182,0.176470588235294,-0.19712127461776,"Apidae","Alloscirtetica",2,1,"Alloscirtetica rufitarsis",3,"G2"
