"genero","especie","orden","familia"
"","Cleridae",NA,NA
"","",NA,NA
"Acalyptrate","Acalyptrate sp1 M PL 062",NA,NA
"Acalyptus","Acalyptus sp1 M PL 044","Coleoptera","Curculionidae"
"Acamptocladius","Acamptocladius submontanus","Diptera","Chironomidae"
"Acanthosoma","Acanthosoma denticauda","Hemiptera","Acanthosomatidae"
"Acarina","Acarina sp1 M PL 020",NA,NA
"Acarina","Acarina sp4 M PL 020",NA,NA
"Achaea","Achaea finita","Lepidoptera","Erebidae"
"Achalarus","Achalarus lycidas","Lepidoptera","Hesperiidae"
"Achyra","Achyra similalis","Lepidoptera","Crambidae"
"Aclastus","Aclastus sp1 M PL 009","Hymenoptera","Ichneumonidae"
"Aclastus","Aclastus sp2 M PL 009","Hymenoptera","Ichneumonidae"
"Aclonempis","Aclonempis longipes","Diptera","Empididae"
"Acmaeodera","Acmaeodera brevipes","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera boryi","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera culta","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera pulchella","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera sp1 M PL 016","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera bipunctata","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera cisti","Coleoptera","Buprestidae"
"Acmaeops","Acmaeops longicornis","Coleoptera","Cerambycidae"
"Acmaeops","Acmaeops nigripennis","Coleoptera","Cerambycidae"
"Acmaeops","Acmaeops directa","Coleoptera","Cerambycidae"
"Acmaeops","Acmaeops pratensis","Coleoptera","Cerambycidae"
"Acmaeopsoides","Acmaeopsoides rufula","Coleoptera","Cerambycidae"
"Acontia","Acontia candefacta","Lepidoptera","Noctuidae"
"Acopsis","Acopsis viridicans","Hemiptera","Cicadellidae"
"Acrobasis","Acrobasis porphyrella","Lepidoptera","Pyralidae"
"Actea","Actea sp1 M PL 013","Lepidoptera","Notodontidae"
"Acteniceromorphus","Acteniceromorphus nipponensis","Coleoptera","Elateridae"
"Actina","Actina jezoensis","Diptera","Stratiomyidae"
"Actinoptera","Actinoptera mamulae","Diptera","Tephritidae"
"Adalia","Adalia deficiens","Coleoptera","Coccinellidae"
"Adela","Adela rufimatrella","Lepidoptera","Adelidae"
"Adela","Adela cuprella","Lepidoptera","Adelidae"
"Adela","Adela purpurea","Lepidoptera","Adelidae"
"Adela","Adela ausralis","Lepidoptera","Adelidae"
"Adelpha","Adelpha abyla",NA,NA
"Adelphocoris","Adelphocoris rubripes","Hemiptera","Miridae"
"Adelphocoris","Adelphocoris triannulatus","Hemiptera","Miridae"
"Adelphocoris","Adelphocoris demissus","Hemiptera","Miridae"
"Adia","Adia cinerella","Diptera","Anthomyiidae"
"Adomerus","Adomerus biguttulus","Hemiptera","Cydnidae"
"Adoxia","Adoxia obscura","Coleoptera","Chrysomelidae"
"Adoxia","Adoxia cheesemani","Coleoptera","Chrysomelidae"
"Adscita","Adscita statices","Lepidoptera","Zygaenidae"
"Aedes","Aedes impiger","Diptera","Culicidae"
"Aedes","Aedes sp1 M PL 014","Diptera","Culicidae"
"Aedes","Aedes sp1 M PL 020","Diptera","Culicidae"
"Aedes","Aedes nigripes","Diptera","Culicidae"
"Aedes","Aedes vexans","Diptera","Culicidae"
"Aethaloessa","Aethaloessa calidalis","Lepidoptera","Crambidae"
"Afranthidium","Afranthidium (mesanthidium) carduele","Hymenoptera","Megachilidae"
"Aganais","Aganais borbonica",NA,NA
"Agapostemon","Agapostemon splendens","Hymenoptera","Halictidae"
"Agapostemon","Agapostemon virescens","Hymenoptera","Halictidae"
"Agapostemon","Agapostemon texanus","Hymenoptera","Halictidae"
"Agapostemon","Agapostemon coloradinus","Hymenoptera","Halictidae"
"Agapostemon","Agapostemon sp1 M PL 005","Hymenoptera","Halictidae"
"Agapostemon","Agapostemon sp1 M PL 040","Hymenoptera","Halictidae"
"Agathidinae","Agathidinae sp",NA,NA
"Agathidinae","Agathidinae sp1 M PL 072",NA,NA
"Agathidinae","Agathidinae sp1 M PL 075",NA,NA
"Agathis","Agathis vulgaris","Hymenoptera","Braconidae"
"Agathis","Agathis sp1 M PL 055","Hymenoptera","Braconidae"
"Agelasa","Agelasa nigriceps","Coleoptera","Chrysomelidae"
"Agelastica","Agelastica coerulea","Coleoptera","Chrysomelidae"
"Agemilla","Agemilla dulcifera subflavescens",NA,NA
"Ageniella","Ageniella accepta","Hymenoptera","Pompilidae"
"Agiotes","Agiotes stabilis",NA,NA
"Aglais","Aglais urticae","Lepidoptera","Nymphalidae"
"Aglaostigma","Aglaostigma neburosa","Hymenoptera","Tenthredinidae"
"Agraulis","Agraulis vanillae","Lepidoptera","Nymphalidae"
"Agrilus","Agrilus difficilis","Coleoptera","Buprestidae"
"Agrilus","Agrilus viridis","Coleoptera","Buprestidae"
"Agrilus","Agrilus egenus","Coleoptera","Buprestidae"
"Agriotes","Agriotes insanus","Coleoptera","Elateridae"
"Agrius","Agrius convolvuli","Lepidoptera","Sphingidae"
"Agrius","Agrius cingulatus","Lepidoptera","Sphingidae"
"Agromyza","Agromyza aeneoventris","Diptera","Agromyzidae"
"Agromyza","Agromyza latipes","Diptera","Agromyzidae"
"Agromyzidae","Agromyzidae sp1",NA,NA
"Agromyzidae","Agromyzidae sp2",NA,NA
"Agrostis","Agrostis atritegulator",NA,NA
"Agrothereutes","Agrothereutes limatus","Hymenoptera","Ichneumonidae"
"Agrotis","Agrotis sp1 M PL 072","Lepidoptera","Noctuidae"
"Agrotis","Agrotis ipsilon","Lepidoptera","Noctuidae"
"Agrotis","Agrotis puta","Lepidoptera","Noctuidae"
"Agrotis","Agrotis ipsilon anieturma","Lepidoptera","Noctuidae"
"Agrotis","Agrotis ypsilon","Lepidoptera","Noctuidae"
"Agrypnus","Agrypnus binodulusllis","Coleoptera","Elateridae"
"Aguna","Aguna asander jasper","Lepidoptera","Hesperiidae"
"Ahasverus","Ahasverus advena Waltle","Coleoptera","Silvanidae"
"Ahasverus","Ahasverus advena","Coleoptera","Silvanidae"
"Ahlber","Ahlber ferra",NA,NA
"Alcis","Alcis angulifera","Lepidoptera","Geometridae"
"Aldrichia","Aldrichia ehrmanii","Diptera","Bombyliidae"
"Aldrichina","Aldrichina grahami","Diptera","Calliphoridae"
"Alipumilio","Alipumilio sp1 M PL 023","Diptera","Syrphidae"
"Allantus","Allantus nigrocaeleus","Hymenoptera","Tenthredinidae"
"Allecula","Allecula tenuis","Coleoptera","Tenebrionidae"
"Allecula","Allecula shibatai","Coleoptera","Tenebrionidae"
"Alliopsis","Alliopsis glacialis","Diptera","Anthomyiidae"
"Alliopsis","Alliopsis sp1 M PL 049","Diptera","Anthomyiidae"
"Alliopsis","Alliopsis sp3 M PL 049","Diptera","Anthomyiidae"
"Alliopsis","Alliopsis sp2 M PL 049","Diptera","Anthomyiidae"
"Allobaccha","Allobaccha sp1 M PL 053","Diptera","Syrphidae"
"Allobaccha","Allobaccha nubilipennis","Diptera","Syrphidae"
"Allobaccha","Allobaccha apicalis","Diptera","Syrphidae"
"Alloestylus","Alloestylus sudeticus",NA,NA
"Allognosta","Allognosta fuscitarsis","Diptera","Stratiomyidae"
"Allograpta","Allograpta pulchra","Diptera","Syrphidae"
"Allograpta","Allograpta exotica","Diptera","Syrphidae"
"Allograpta","Allograpta nasuta Marquart","Diptera","Syrphidae"
"Allograpta","Allograpta javana","Diptera","Syrphidae"
"Allograpta","Allograpta hortensis","Diptera","Syrphidae"
"Allograpta","Allograpta sp1 M PL 061","Diptera","Syrphidae"
"Allograpta","Allograpta javania","Diptera","Syrphidae"
"Allograpta","Allograpta sp1 M PL 072","Diptera","Syrphidae"
"Allograpta","Allograpta sp1 M PL 069","Diptera","Syrphidae"
"Allograpta","Allograpta nasuta","Diptera","Syrphidae"
"Allophorocera","Allophorocera lapponica","Diptera","Tachinidae"
"Allopiophila","Allopiophila arctica","Diptera","Piophilidae"
"Allopiophila","Allopiophila fulviceps","Diptera","Piophilidae"
"Alloscirtetica","Alloscirtetica sp1 M PL 022","Hymenoptera","Apidae"
"Alloscirtetica","Alloscirtetica sp","Hymenoptera","Apidae"
"Alloscirtetica","Alloscirtetica antarctica","Hymenoptera","Apidae"
"Alloscirtetica","Alloscirtetica rufitarsis","Hymenoptera","Apidae"
"Alloscirtetica","Alloscirtetica gayi","Hymenoptera","Apidae"
"Alloscirtetica","Alloscirtetica herbsti","Hymenoptera","Apidae"
"Allosmaitia","Allosmaitia piplea","Lepidoptera","Lycaenidae"
"Alophera","Alophera sp1 M PL 019",NA,NA
"Alophophion","Alophophion sp1 M PL 072","Hymenoptera","Ichneumonidae"
"Alophora","Alophora fumosa","Diptera","Tachinidae"
"Alophora","Alophora pusilla","Diptera","Tachinidae"
"Alophora","Alophora grandis","Diptera","Tachinidae"
"Alophora","Alophora pulverea","Diptera","Tachinidae"
"Alphostrombocerus","Alphostrombocerus komowi",NA,NA
"Alydus","Alydus pilosulus","Hemiptera","Alydidae"
"Alypia","Alypia octomaculata","Lepidoptera","Noctuidae"
"Alysiinae","Alysiinae sp1 M PL 009",NA,NA
"Alysiinae","Alysiinae sp2 M PL 009",NA,NA
"Alysiinae","Alysiinae sp3 M PL 009",NA,NA
"Alysiinae","Alysiinae sp4 M PL 009",NA,NA
"Alysiinae","Alysiinae sp5 M PL 009",NA,NA
"Alyson","Alyson trianguliferus","Hymenoptera","Sphecidae"
"Alysson","Alysson cameroni","Hymenoptera","Crabronidae"
"Amasis","Amasis lateralis",NA,NA
"Amasis","Amasis similis",NA,NA
"Amauronematus","Amauronematus amentorum","Hymenoptera","Tenthredinidae"
"Amauronematus","Amauronematus sp1 M PL 014","Hymenoptera","Tenthredinidae"
"Amazilia","Amazilia fibriata",NA,NA
"Amazilia","Amazilia fimbriata",NA,NA
