"plantas","Anthidium.sp","Bombus.dahlbomii","Megachile.semirufa","Megachile.sp5"
"Pozoa.coriacea",0,0,0,0
"Cerastium.montioides",0,0,0,0
"Draba.tenuis",0,0,0,0
"Tropaeolum.polyphyllum",1,0,0,1
"Nassauvia.lagascae",0,0,0,0
"Draba.gilliesii",0,0,0,0
"Viola.montagnei",0,0,0,0
"Cardamine.nivalis",0,0,0,0
"Nastanthus.aglomeratus",0,0,0,0
"Junellia.uniflora",0,0,0,0
"Viola.philippii",0,0,0,0
"Ranunculus.peduncularis",0,0,0,0
"Oxalis.compacta",1,0,0,0
"Chaetanthera.flabellata",0,0,0,0
"Caiophora.coronata",1,1,0,0
"Calandrinia.affinis",0,0,0,0
"Adesmia.capitellata",1,0,0,0
"Loasa.caespitosa",1,0,0,1
"Calandrinia.occulta",0,0,0,0
"Phacelia.secunda",1,1,1,1
"Chaetanthera.lycopodioides",0,0,0,0
"Viola.atropurpurea",0,0,0,0
"Leuceria.salina",0,0,0,0
"Nassauvia.pungens",0,1,0,0
"Calandrinia.picta",0,0,0,0
"Chaetanthera.apiculata",0,0,0,0
"Erigeron.andicola",0,0,0,0
"Valeriana.radicalis",0,0,0,0
"Oreopolus.glacialis",0,0,0,0
"Calandrinia.caespitosa",0,0,0,0
"Azorella.madreporica",0,0,0,0
"Nassauvia.pinnigera",0,0,0,0
"Nastanthus.spathulatus",0,0,0,0
"Acaena.pinnatifida",0,0,0,0
"Cerastium.arvense",0,0,0,0
"Oxalis.sp1",0,0,0,0
"Calandrinia.sericea",0,0,0,0
"Adesmia.glomerula",1,0,0,0
"L.acaulis",0,0,0,0
"Senecio.francisci",0,0,0,0
"Nototriche.compacta",0,0,0,0
