"plantas","Andrena.melanochroa","Andrena.miranda","Andrena.nivalis","Andrena.rufosignata","Andrena.sigmundi","Andrena.thaspii","Andrena.w.scripta","Andrena.wheeleri","Andrena.wilkella","Bombus.perplexus","Bombus.ternarius","Bombus.terricola","Bombus.vagans","Dialictus.cressoni","Dialictus.imitatus","Dialictus.sp1.M.PL.004","Evylaeus.divergens","Evylaeus.quebecensis","Halictus.confusus","Halictus.rubicundus","Hoplitis.producta","Hylaeus.basalis","Hylaeus.ellipticus","Hylaeus.stevensi","Nomada.cuneata","Nomada.sayi","Osmia.lignaria","Osmia.proxima","Osmia.pumila","Sphecodes.sp1.M.PL.004"
"Pyrola.secunda",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aralia.nudicaulis",0,0,0,0,0,0,1,1,0,3,0,2,8,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Chimaphila.umbellata",0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clintonia.borealis",0,0,0,0,0,0,0,0,1,0,2,3,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Medeola.virginiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Linnaea.borealis",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,3,0,0,0,0,5,1,0,0,0,1,1,0
"Oxalis.montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypripedium.acaule",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trientalis.borealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maianthemum.canadense",0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,14,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"Trillium.undulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cornus.canadensis",3,2,1,2,1,1,7,0,0,2,1,4,17,0,0,17,1,7,1,0,0,1,0,0,0,1,0,2,0,2
