"plantas","Agapostemon.coloradensis","Agapostemon.sp1.M.PL.005","Agapostemon.splendens","Andrena.apacheorum","Andrena.braccata","Andrena.canadensis","Andrena.crataegi","Andrena.edwiniae","Andrena.gardineri","Andrena.imitatrix","Andrena.lewisi","Andrena.madronitens","Andrena.placida","Andrena.prunorum","Andrena.sp1.M.PL.005","Andrena.vicina","Andrena.washingtoni","Anthidium.tenuiflorae","Anthophora.bomboides","Anthophora.neomexicana","Anthophora.occidentalis","Anthophora.simillima","Anthophora.smithi","Apis.mellifera","Bombus.americanorum","Bombus.appositus","Bombus.bifarius","Bombus.centralis","Bombus.dorsalis","Bombus.edwardsi","Bombus.fervidus","Bombus.flavifrons","Bombus.fulvida","Bombus.hunti","Bombus.juxtus","Bombus.kirbyellus","Bombus.morrisoni","Bombus.nevadensis","Bombus.occidentalis","Bombus.pennsylvanicus","Bombus.rufocinctus","Ceratina.sp1.M.PL.005","Coelioxys.moesta","Colletes.americanus","Colletes.kincaidi","Colletes.oromontis","Colletes.sieverti","Colletes.sp1.M.PL.005","Epeolus.helianthi","Halictus.chloralictus","Halictus.fendleri","Halictus.lerouxi","Halictus.manitonellus","Halictus.medionitens","Halictus.pulzenus","Halictus.sp1.M.PL.005","Halictus.sp2.M.PL.005","Halictus.sp3.M.PL.005","Heriades.gracilior","Megachile.gemula.albula","Megachile.pugnata","Megachile.relativa","Megachile.sp1.M.PL.005","Megachile.texana","Megachile.vidua","Megachile.wootoni","Megachile.wootoni.calogaster","Melissodes.aurigenia","Melissodes.fremonti","Melissodes.sp1.M.PL.005","Nomada.sp1.M.PL.005","Osmia.abnormis","Osmia.albolateralis","Osmia.bella","Osmia.brevis","Osmia.bruneri","Osmia.coloradella","Osmia.densa","Osmia.fulgida","Osmia.hypoleuca","Osmia.megacephala","Osmia.melanotricha","Osmia.nigrifrons","Osmia.pentstemonis","Osmia.phaceliae","Osmia.propinqua","Osmia.pusilla","Osmia.rohweri","Osmia.sp1.M.PL.005","Osmia.wardiana","Panurginus.cressoniellus","Panurginus.sp1.M.PL.005","Prosopis.basalis","Prosopis.coloradensis","Prosopis.cressoni","Prosopis.elliptica","Prosopis.episcopalis","Prosopis.sp1.M.PL.005","Prosopis.tridentula","Prosopis.varifrons","Prosopis.wootoni","Sphecodes.sophiae","Triepeolus.helianthi.grandior"
"Rydbergia.grandilfora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polygonum.bistorta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dodecatheon.meadia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ibidium.strictum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Delphinium.scopulorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asclepias.halli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pentstemon.gracilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"Frasera.speciosa",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caltha.leptosepala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermopsis.montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sieversia.ciliata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
