"plantas","Andrena.haemorrhoa","Andrena.pubescens","Andrena.wilkella","Bombus.hortorum","Bombus.lapidarius","Bombus.pascuorum","Bombus.pratorum","Bombus.terrestris.lucorum","Lasioglossum.calceatum","Lasioglossum.leucozonium","Lasioglossum.villosulum","Megachile.willughbiella"
"Trifolium.dubium",1,0,8,0,0,1,0,7,0,0,0,0
"Plantago.lanceolata",0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus.acris",0,0,0,0,0,0,0,1,1,0,1,0
"Cirsium.arvense",0,0,0,0,0,0,0,0,0,0,0,0
"Vicia.sativa",0,0,0,1,0,2,0,3,0,0,0,0
"Trifolium.repens",0,0,0,0,0,0,0,7,0,0,0,0
"Lotus.corniculatus",0,1,7,13,1,47,1,965,0,0,0,9
"Hypochoeris.radicata",1,0,0,0,0,2,0,15,0,1,0,0
"Vicia.cracca",0,0,4,4,0,4,0,69,0,0,0,0
"Achillea.millefolium",0,0,0,0,0,0,0,0,0,0,0,0
"Prunella.vulgaris",0,0,0,0,0,2,0,1,0,0,0,0
"Lathyrus.pratensis",0,0,1,5,0,18,0,175,0,0,0,0
"Taraxacum.officinale",0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",0,0,0,0,0,2,1,0,0,0,0,0
"Lychnis.flos-cuculi",0,0,0,0,0,3,0,0,0,0,0,0
"Centaurea.nigra",0,0,0,0,0,0,0,0,0,0,0,0
"Leucanthemum.vulgare",2,1,5,2,0,3,2,33,0,0,0,0
