"plantas","Andrena.chrysosceles","Andrena.pubescens","Anthophora.plumipes","Apis.mellifera","Bombus.hortorum","Bombus.lapidarius","Bombus.pascuorum","Bombus.pratorum","Bombus.terrestris.lucorum","Lasioglossum.calceatum","Lasioglossum.villosulum"
"Leucanthemum.vulgare",2,0,0,0,0,36,0,5,5,0,0
"Trifolium.repens",0,0,0,0,0,0,2,0,0,0,0
"Galium.verum",0,0,0,0,0,0,0,0,0,0,0
"Centaurea.nigra",0,0,0,14,1,469,35,8,8,0,0
"Hypochoeris.radicata",0,0,0,0,0,4,0,0,0,0,1
"Primula.veris",0,0,5,0,0,1,0,0,1,0,0
"Orchis.morio",0,0,0,0,0,0,1,0,0,0,0
"Lotus.corniculatus",0,0,0,0,0,3,2,0,0,0,0
"Filipendula.ulmaria",0,0,0,0,0,2,0,0,0,0,0
"Cirsium.palustre",0,0,0,0,0,8,3,4,0,0,0
"Taraxacum.officinale",0,0,0,0,0,0,0,0,0,0,0
"Cerastium.fontanum",0,0,0,0,0,0,0,0,0,0,0
"Cirsium.arvense",0,0,0,0,0,2,0,0,0,0,0
"Trifolium.dubium",0,0,0,0,0,1,0,0,0,0,0
"Lathyrus.pratensis",0,0,0,0,0,0,4,0,0,0,0
"Ranunculus.acris",0,1,0,0,0,2,1,0,0,1,0
