"plantas","Andrena.wollestoni","Anthidium.manicatum","Anthophora.alluaudi","Apis.mellifera","Colletes.dimidiatus","Eucera.gracilipes","Lasioglossum.actifrons","Lasioglossum.chalcodes","Lasioglossum.viride","Megachile.canariensis","Melecta.curvispina","Osmia.canariensis"
"Adenocarpus.viscosus",0,0,0,0,0,0,0,0,0,0,0,1
"Nepeta.teydea",0,1,1,0,0,1,0,0,0,0,0,0
"Echium.wildpretii",0,0,1,1,0,1,0,1,1,1,1,0
"Pimpinella.cumbrae",0,0,0,1,0,0,1,0,1,0,0,0
"Erysimum.scoparium",0,0,1,1,0,1,0,0,0,1,1,1
"Pterocephalus.lasiospermus",0,0,0,1,0,0,0,0,1,1,1,1
"Spartocytisus.supranubius",1,0,1,1,1,1,0,0,0,1,0,0
"Mentha.longifolia",0,0,1,0,1,0,1,0,0,0,0,0
"Argyranthemum.teneriffae",0,0,0,1,0,0,0,0,0,0,0,0
"Tolpis.webbii",1,0,0,0,0,0,0,0,0,1,0,0
"Scrophularia.glabrata",0,0,1,0,0,0,1,0,1,0,0,0
