"plantas","Bombus.alpinus","Bombus.hyperboreus"
"Antennaria.alpina",0,0
"Pinguicula.alpina",0,0
"Salix.lanata",0,0
"Viola.biflora",0,0
"Rhododendron.lapponicum",0,0
"Cassiope.tetragona",0,0
"Polygonum.viviparum",0,0
"Potentilla.crantzii",1,1
"Arabis.alpina",0,0
"Rhodiola.rosea",0,0
"Astragalus.alpinus",0,0
"Taraxacum.officinale",0,0
"Parnassia.palustris",0,0
"Bartsia.alpina",0,0
"Dryas.octopetala",0,0
"Salix.reticulata",0,0
"Cassiope.hypnoides",0,0
"Trollius.europaeus",0,0
"Diapensia.lapponica",0,0
"Cerastium.alpinum",0,0
"Silene.acaulis",0,0
"Salix.polaris",0,0
"Saxifraga.oppositifolia",0,0
"Saxifraga.aizoides",0,0
