"plantas","Andrena.sp1.M.PL.012","Anthophora.alluaudi","Apis.mellifera","Bombus.canariensis","Halictus.sp1.M.PL.012","Lasioglossum.chalcodes","Lasioglossum.loetum","Sphecodes.marginatus","Sphecodes.ruficrus","Thyreus.histrionicus"
"Carduus.tenuiflorus",0,0,0,1,0,0,0,0,0,0
"Silene.gallica",0,1,0,0,0,0,0,0,0,0
"Geranium.canariense",0,1,1,1,0,1,0,0,0,0
"Ilex.canarienis",0,0,0,1,0,0,0,0,0,0
"Sonchus.cf..ortunoi",0,0,0,0,0,0,0,0,0,0
"Psoralia.bituminosa",0,0,0,0,0,0,0,0,0,0
"Ageretina.adenophora",0,0,0,0,0,0,0,0,0,0
"Echium.plantagineum",0,1,1,1,0,0,1,0,0,0
"Andryala.pinnatifida",0,0,1,1,0,1,1,0,0,0
"Rhamnus.glandulosa",0,0,0,0,0,0,0,0,0,0
"Cistus.monspeliensis",0,0,0,0,0,0,0,0,0,0
"Erica.arborea",0,0,1,0,0,0,0,0,0,0
"Ranunculus.cortusaefolius",0,0,0,0,1,0,0,0,0,0
"Argyranthemum.broussonetti",0,0,0,0,0,0,0,0,0,0
"Aichryson.laxum",0,0,0,1,0,0,0,0,0,0
"Hypericum.grandifolium",0,0,0,1,0,0,0,0,0,0
"Adenocarpus.foliosus",0,0,0,1,0,0,0,0,0,0
"Anacyclus.radiatus",0,0,0,0,0,0,0,0,0,1
"Appolonias.barbujana",0,0,0,1,0,0,0,0,0,0
"Laurus.azorica",0,0,0,1,0,0,0,0,0,0
"Senecio.steetzii",0,0,0,1,0,0,0,1,1,0
"Picconia.excelsa",0,0,0,0,0,0,0,0,0,0
"Leontodon.taraxacoides",0,1,0,0,0,0,0,0,0,0
"Viola.riviniana",0,1,0,0,0,0,0,0,0,0
"Geranium.robertianum",0,1,0,0,0,0,0,0,0,0
"Galactites.tomentosa",0,0,1,1,1,1,0,0,0,1
"Cedronella.canariensis",1,1,1,1,0,0,1,0,0,1
"Raphanus.raphanistrum",0,1,0,0,0,0,0,0,0,0
"Sonchus.tenerrimus",0,0,0,1,0,0,0,0,0,0
