"plantas","Apis.mellifera","Bombus.hyperboreus","Bombus.polaris"
"Braya.sp1.M.PL.014",0,0,0
"Epilobium.sp1.M.PL.014",0,1,1
"Erigeron.sp1.M.PL.014",0,0,0
"Potentilla.sp1.M.PL.014",0,0,0
"Polygonum.viviparum",0,0,0
"Taraxacum.sp1.M.PL.014",0,0,0
"Salix.sp1.M.PL.014",1,0,1
"Draba.oblongata",0,0,0
"Arnica.sp1.M.PL.014",0,0,0
"Pedicularis.capitata",0,0,1
"Papaver.sp1.M.PL.014",0,0,1
"Saxifraga.sp1.M.PL.014",0,0,0
"Stellaria.sp1.M.PL.014",0,0,1
"Erysimum.sp1.M.PL.014",0,0,0
"Saxifraga.flagellaris",0,0,0
"Draba.cinerea",0,0,0
"Dryas.sp1.M.PL.014",0,0,1
"Lychnis.triflora",0,0,0
"Saxifraga.tricuspidata",0,0,0
"Pedicularis.sp1.M.PL.014",0,0,1
"Cerastium.arcticum",0,0,0
"Saxifraga.hirculus",0,0,0
"Silene.sp1.M.PL.014",0,0,1
"Draba.bellii",0,0,0
"Cerastium.alpinum",0,0,0
"Lesquerella.arctica",0,0,0
"Saxifraga.cernua",0,0,0
"Cassiope.tetragona",1,0,1
"Saxifraga.oppositifolia",1,0,1
