"plantas","Amegilla.fasciata","Amegilla.quadrifasciata","Andrena.assimilis","Andrena.bicolor","Andrena.bimaculata","Andrena.hispania","Andrena.nigroaenea","Andrena.sp1.M.PL.016","Andrena.squalida","Anthidiellum.strigatum","Anthophora.acervorum","Anthophora.dispar","Anthophora.sp1.M.PL.016","Apis.mellifera","Bombus.lucorum","Ceratina.cucurbitina","Ceratina.cyanea","Ceratina.mocsaryi","Colletes.acutus","Colletes.caspicus","Colletes.fodiens","Colletes.sp1.M.PL.016","Colletes.succintus","Dasypoda.cingulata","Dasypoda.iberica","Epeolus.fallax","Eucera.hispaliensis","Halictus.fulvipes","Halictus.gemmeus","Halictus.quadricinctus","Halictus.scabiosae","Halictus.smaragdulus","Heriades.crenudatus","Lasioglossum.aegyptiellun","Lasioglossum.albocinctum","Lasioglossum.callizonium","Lasioglossum.immunitum","Lasioglossum.littorale","Lasioglossum.pallens","Lasioglossum.prasinum","Lasioglossum.punctatissimum","Lasioglossum.sp1.M.PL.016","Lasioglossum.villosulum","Megachile.leachella","Megachile.maritima","Megachile.pilidens","Nomada.mutabilis","Osmia.sp1.M.PL.016","Panurgus.sp1.M.PL.016","Sphecodes.hirtellus","Sphecodes.pellucidus","Stelis.signata","Tetralonia.berlandi","Xylocopa.cantabrita","Xylocopa.violacea"
"Halimium.commutatum",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus.officinalis",0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
"Myrtus.communis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Osyris.quadripartita",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cistus.salvifolius",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Thymus.mastichina",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ulex.parviflorus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armeria.velutina",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rubus.ulmifolius",0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Asparagus.aphyllus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
