"plantas","Apis.mellifera","Bombus.lapidarius","Bombus.muscorum","Bombus.pascuorum","Bombus.terrestris"
"Leontodon.saxatilis",0,0,0,0,0
"Senecio.jacobea",0,0,0,0,0
"Leontodon.hispidus",0,0,0,0,0
"Linum.catharticum",0,0,0,0,0
"Centaurea.nigra",5,3,0,7,4
"Medicago.lupulina",0,0,0,0,0
"Agrimonia.eupatoria",0,0,0,0,0
"Knautia.arvensis",0,0,1,4,2
"Daucus.carota",0,1,0,0,0
"Trifolium.pratense",0,1,9,14,0
"Plantago.major",0,0,0,0,0
"Euphrasia.officinalis",0,0,0,0,0
"Torilis.japonica",0,0,0,0,0
"Hypochoeris.radicata",0,0,0,0,0
"Clematis.vitalba",0,0,0,0,0
"Rubus.fruticosus",0,0,0,0,0
"Lotus.corniculatus",0,0,0,1,0
"Convolvulus.arvensis",0,0,0,0,0
"Leontodon.autumnalis",0,0,0,0,0
"Eupatorium.cannabinum",0,0,0,0,0
"Angelica.sylvestris",0,0,0,0,0
"Chamerion.angustifolium",0,1,0,0,0
"Lathyrus.pratensis",0,0,0,1,0
"Aethusa.cynapium",0,0,0,0,0
"Crepis.capillaris",0,0,0,0,0
