"plantas","Apis.mellifera","Euryglossa.sp1.M.PL.019","Euryglossa.sp2.M.PL.019","Euryglossa.sp3.M.PL.019","Hylaeus.semipersonatus","Hylaeus.sp1.M.PL.019","Hyphesma.sp1.M.PL.019","Lasioglossum.sp1.M.PL.019","Lasioglossum.sp10.M.PL.019","Lasioglossum.sp11.M.PL.019","Lasioglossum.sp2.M.PL.019","Lasioglossum.sp3.M.PL.019","Lasioglossum.sp4.M.PL.019","Lasioglossum.sp5.M.PL.019","Lasioglossum.sp6.M.PL.019","Lasioglossum.sp7.M.PL.019","Lasioglossum.sp8.M.PL.019","Lasioglossum.sp9.M.PL.019","Leioproctus.sp1.M.PL.019","Leioproctus.sp2.M.PL.019","Leioproctus.sp3.M.PL.019","Leioproctus.sp4.M.PL.019","Leioproctus.sp5.M.PL.019","Megachile.sp1.M.PL.019"
"Olearia.phlogopappa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia.longifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
"Orites.lancifolia",0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,43,0,0,2,1,0
"Phebalium.ovatifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Pimelea.ligustrina",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epacris.microphylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphrasia.collina",0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Craspedia.sp1.M.PL.019",0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,1,0,3,1,0,0,0,0
"Epilobium.gunnianum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epacris.petrophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Baeckia.gunniana",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wahlenbergia.ceracea",0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,28,1,0,0,0,0
"Leucopogon.montanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Brachycome.sp1.M.PL.019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea.millefolium",0,0,0,1,0,0,0,0,1,0,6,0,0,0,3,0,0,4,0,0,0,0,0,0
"Neopaxia.australasica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachycome.stolonifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio.lautus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"Aciphylla.glacialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helichrysum.scorpioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptorhynchos.squamatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio.gunnii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microseris.lanceolata",0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0
"Pentachondra.pumila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
