"plantas","Andrena.akitsushimae","Andrena.benefica","Andrena.brevihirtiscopa","Andrena.dentata","Andrena.haemorrhoa.japonibia","Andrena.halictoides","Andrena.hikosana","Andrena.ishiharai","Andrena.kaguya","Andrena.Knuthi","Andrena.komachi","Andrena.longitibialis","Andrena.minutula","Andrena.miyamotoi","Andrena.omogensis","Andrena.opacifovea.opacifovea","Andrena.stellaria","Andrena.sublevigata","Andrena.tsukubana","Andrena.yamamoto","Apis.cerana","Apis.mellifera","Bombus.ardens","Bombus.diversus.diversus","Bombus.honshuensis","Bombus.hypocrita.hypocrita","Bombus.ignitus","Ceratina.esakii","Ceratina.flavipes","Ceratina.japonica","Ceratina.megastigmata","Chalicodoma.sculpturalis","Coelioxys.breris","Hylaeus.floralis","Hylaeus.globula","Hylaeus.nippon","Lasioglossum.apristum","Lasioglossum.baleicum","Lasioglossum.duplex","Lasioglossum.exiliceps","Lasioglossum.japonicum","Lasioglossum.kansuense","Lasioglossum.occidens","Lasioglossum.problematicum","Lasioglossum.proximatum","Lasioglossum.sexstrigatum","Lasioglossum.sp1.M.PL.021","Lasioglossum.sp2.M.PL.021","Lasioglossum.sp3.M.PL.021","Lasioglossum.sp4.M.PL.021","Lasioglossum.sp5.M.PL.021","Lasioglossum.sp6.M.PL.021","Lasioglossum.taniolellum","Lasioglossum.transpositum","Megachile.remota.sakagamii","Megachile.tsurugensis","Nomada.galloisi","Nomada.ginran","Nomada.hakonensis","Nomada.pacifica","Osmia.orientalis","Osmia.taurus","Sphecodes.sp1.M.PL.021","Tetralonia.mitsukurii","Tetralonia.nipponens"
"Corydalis.lineariloba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
"Hydrangea.paniculata",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aster.glehni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus.parvifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthamida.kousa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ampelopsis.brevipedunculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Geum.japonicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reynoutria.japonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago.asiatica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spuriopimpinella.nikoensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persicaria.thunbergii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Styrax.japonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
