"plantas","Alloscirtetica.antarctica","Alloscirtetica.sp1.M.PL.022","Anthidium.chubuti","Megachile.sp1.M.PL.022","Megachile.sp2.M.PL.022","Spinoliella.sp1.M.PL.022"
"Jaborosa.laciniata.",0,0,0,0,0,0
"Epilobium.nivale.",0,0,0,0,0,0
"Adesmia.haemisphaerica",0,0,1,1,1,0
"Azorella.monanthos",0,0,0,0,0,0
"Astragalus.cruckshanksii",0,0,0,1,0,0
"Senecio.tricephalus.",0,0,0,0,0,0
"Leuceria.candidissima.",0,0,0,0,0,0
"Cerastium.arvense",0,0,0,0,0,0
"Montiopsis.gilliesii.",0,0,0,0,0,0
"Discaria.nana",0,0,0,0,0,0
"Sisyrinchium.junceum",1,1,1,1,1,0
"Menonvillea.hookeri.",0,0,0,0,0,0
"Hypochoeris.montana.",0,0,0,0,0,0
"Oxalis.erythrorhiza",0,0,0,0,0,0
"Tarasa.humilis.",0,0,0,1,0,1
"Perezia.pilifera",0,0,0,0,0,0
"Loasa.incurva.",0,0,1,0,0,0
"Phacelia.secunda",0,0,0,1,0,0
"Senecio.looseri.",0,0,0,1,1,1
"Astragalus.nivicola",0,0,0,1,1,0
"Calandrinia.caespitosa",0,0,0,0,0,0
