"plantas","Alloscirtetica.herbsti","Anthidium.rubriceps","Apis.mellifera","Arhysosage.bifasciata","Augochloropsis.sp1.M.PL.023","Caenohalictus.sp1.M.PL.023","Caenohalictus.sp2.M.PL.023","Callonychium.mandibulare","Centris.muralis","Centris.sp1.M.PL.023","Chalepogenus.caeruleus","Colletes.lycii","Diadasia.patagonica","Dialictus.sp1.M.PL.023","Dialictus.sp2.M.PL.023","Megachile.sp1.M.PL.023","Megachile.sp2.M.PL.023","Psaenythia.rufipes","Svastrides.zebra"
"Oenothera.mendocinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adesmia.retrofracta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Discaria.trinervis",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lathyrus.sp1.M.PL.023",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Phacelia.secunda",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio.subulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mutisia.decurrens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis.pingraea",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Grindelia.chiloensis",1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1
"Rapistrum.rugosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lecanophora.heterophylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rosa.rubiginosa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hysterionica.jasionoides",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Polygala.stenophylla",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Larrea.divaricata",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"Junellia.tonini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thelesperma.megapotamicum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pyrrhocactus.strausianum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Opuntia.corrugata",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"Senecio.filaginoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arjona.patagonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mimulus.sp1.M.PL.023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Oxalis.sp1.M.PL.023",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
