"plantas","Andrena.arabis","Andrena.carlini","Andrena.ceanothi","Andrena.dunningi","Andrena.erigeniae","Andrena.imatrix","Andrena.nasonii","Andrena.nigrihirta","Andrena.personata","Andrena.tridens","Andrena.violae","Andrena.ziziaeformis","Apis.mellifera","Augochlora.pura","Bombus.bimaculatus","Bombus.pennsylvanicus","Ceratina.calcarata","Dialictus.abanci","Dialictus.cressonii","Evylaeus.macoupinensis","Nomada.bishopii","Nomada.luteola","Nomada.perplexa","Nomada.pygmaea","Nomada.sayi","Nomada.sp1.M.PL.025","Osmia.atriventris","Osmia.conjucta","Osmia.lignaria","Osmia.simillima","Osmia.sp1.M.PL.025","Xylocopa.virginica.virginica"
"Viola.papilionacea",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0
"Stellaria.pubera",0,2,0,0,3,0,8,6,1,0,0,0,0,3,0,0,2,3,0,0,1,3,4,5,1,44,3,7,0,0,3,0
"Uvularia.sessilifolia",0,0,0,0,0,0,0,15,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sangiunaria.canadensis",0,2,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hepatica.americana",0,1,0,0,0,0,0,27,0,9,0,0,4,0,2,0,0,5,0,5,0,0,0,0,0,4,0,0,0,0,0,0
"Erythronium.umbilicatum",0,4,0,0,0,0,0,273,0,72,0,0,52,1,0,0,0,3,0,0,0,0,8,0,0,1,0,4,4,0,7,2
"Cardamine.angustata.angustata",2,7,0,1,2,0,2,16,0,4,0,0,5,3,5,1,0,0,0,0,0,0,2,1,0,2,0,1,2,0,1,1
"Aesculus.sylvatica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiarella.cordifolia.collina",0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"Podophyllum.peltatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Thalictrum.thalictroides",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Claytonia.virginica",0,1,1,0,378,1,3,13,0,2,0,1,4,1,0,0,3,7,5,4,0,0,6,8,0,32,0,7,3,0,4,1
"Trillium.catesbei",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
