"plantas","Xylocopa.darwini"
"Opuntia.echios",1
"Cucurbita.pepo",1
"Cuphea.racemosa",1
"Bidens.pilosa",1
"Scalesia.pedunculata",1
"Lycopersicon.cheesmanii",1
"Mirabilis.jalapa",1
"Sonchus.oleraceus",1
"Cacabus.miersii",0
"Sesuvium.portulacastrum",1
"Macraea.laricifolia",1
"Opuntia.helleri",0
"Nolana.galapagensis",1
"Encelia.hispida",0
"Miconia.robinsoniana",1
"Clerodendrum.molle.glabr.",1
"Scalesia.sp1.M.PL.026",1
"Castela.galapageia",1
"Cordia.leucophlyctis",1
"Portulaca.oleracea",1
"Sida.paniculata",1
"Bacopa.monniera",1
"Croton.scouleri",0
"Inga.edulis",1
"Mentzelia.aspera",1
"Cryptocarpus.pyriformis",1
"Catharanthus.roseus",0
"Cordia.sp1.M.PL.026",0
"Capsicum.frutescens",0
"Diodia.radula",0
"Cardiospermum.galapageium",1
"Scalesia.affinis",1
"Euphorbia.cyathophora",1
"Sida.rhombifolia",1
"Clerodendrum.molle",1
"Vallesia.glabra",1
"Jaegeria.gracilis",0
"Cordia.lutea",1
"Bougainvillea.sp1.M.PL.026",0
"Piscidia.carthagenesis",1
"Brassica.campestris",1
"Acacia.insulae-iacobi",1
"Gossypium.sp1.M.PL.026",0
"Scalesia.beurii",0
"Polygonum.opelousanum",0
"Chicocca.alba",1
"Acacia.macracantha",1
"Plumbago.scandens",1
"Opuntia.megasperma",1
"Persea.maericana",1
"Coffea.arabica.",1
"Lantana.peducularis",1
"Sida.spinosa",1
"Rhynchosia.minima",1
"Abelmoschus.manihot",1
"Ipomoea.linearifolia",1
"Solanum.americanum",1
"Commicarpus.tuberosus",1
"Prosopis.juliflora",1
"Hibiscus.teliaceus",1
"Psychotria.rufipes",1
"Clerodendrum.molle.var.",1
"Mormordica.charantia",1
"Gossypium.barbadense",1
"Cassia.picta",1
"Tournefortia.psilostachya",0
"Setaria.geniculta",0
"Ipomoea.sp1.M.PL.026",0
"Sida.acuta",1
"Scalesia.helleri",1
"Opuntia.echios.gigantea",1
"Geoffroea.spinosa",1
"Parkinsonia.aculeata",1
"Tournefortia.rufo-sericea",0
"Bastardia.viscosa",1
"Cassia.sp1.M.PL.026",0
"Physalis.pubescens",1
"Scaveola.plumieri",1
"Galvezia.leucantha.pubescen",1
"Ageratum.conyzoides",0
"Bursera.graveolens",1
"Justicia.galapagana",1
"Abutilon.depauperatum",1
"Darwiniothamnus.tenuifolius",1
"Tetramerium.nervosum",1
"Cassia.occidentalis",1
"Caesalpinia.pulcherrima",1
"Waltheria.ovata",1
"Canna.sp1.M.PL.026",1
"Tribulus.cistoides",1
"Ipomoea.pes-caprae",1
"Vigna.luteola",1
"Stachtarpheta.cayanensis",1
"Galactea.striata",1
"Crotalaria.incana",1
"Psidium.guajava",1
"Opuntia.sp2.M.PL.026",0
"Galvezia.leucantha",1
"Phyla.sp1.M.PL.026",0
"Opuntia.sp1.M.PL.026",0
"Carica.papaya",0
"Lycopersicon.cheesmanii.minor",0
"Avicennia.germinans",0
"Passiflora.foetida",1
"Malvastrum.coromandelianum",1
