"plantas","Lasioglossum.sp1.M.PL.027","Leioproctus.fulvescens","Leioproctus.maritimus","Leioproctus.sp1.M.PL.027","Leioproctus.sp2.M.PL.027"
"Hoheria.glabrata",0,0,0,0,0
"Pratia.angulata",0,0,0,0,0
"Galium.propinquum",0,0,0,0,0
"Senecio.bidwilli",0,0,0,0,0
"Celmisia.coriacea",0,1,0,0,0
"Hebe.odora",0,0,0,0,0
"Senecio.bellidioides",1,1,0,0,0
"Wahlenbergia.albomarginata",1,1,0,1,1
"Celmisia.armstrongii",0,0,0,0,0
"Ourisia.macrocarpa",0,0,0,0,0
"Cassinia.vauvilliersi",0,0,1,0,1
"Craspedia.uniflora",0,1,0,1,0
"Helichrysum.bellidioides",0,0,0,0,0
"Senecio.scorzoneroides",0,0,0,0,0
"Parahebe.lyalii",1,0,0,0,0
"Ranunculus.lyalii",0,0,0,0,0
"Gentiana.corymbifera",0,1,0,1,0
"Chrysanthemum.leucanthemum",1,1,0,1,0
