"plantas","Apis.mellifera","Bombus.hortotum","Bombus.ruderatus","Bombus.terrestris","Hylaeus.agilis","Hylaeus.relegatus","Hylaeus.sp1.M.PL.028","Lasioglossum.sordidum","Lasioglossum.sp1.M.PL.028","Leioproctus.boltonii","Leioproctus.fulvescens","Leioproctus.imitatus","Leioproctus.maritimus","Leioproctus.monticola","Leioproctus.sp1.M.PL.028","Leioproctus.sp2.M.PL.028","Leioproctus.sp3.M.PL.028","Leioproctus.sp4.M.PL.028","Leioproctus.sp5.M.PL.028"
"Echium.vulgare",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia.gracilenta",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"Galium.propinquum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parahebe.lyalii",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cytisus.scoparius",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Linum.catharticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimelea.sericeo-villosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hebe.salicifolia",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Discaria.toumatou",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Isotoma.fluviatilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olearia.virgata",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Verbascum.thapsis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marrubium.vulgare",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium.arvense",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimelea.traversii",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
"Helichrysum.selago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa.rubiginosa",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Digitalis.purpurea",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla.subflavellata",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Raoulia.mammilaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epilobium.sp1.M.PL.028",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Leptospermum.scoparium",1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
"Potentilla.anserina",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pratia.angulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wahlenbergia.albomarginata",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
"Brachyome.sinclairii",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Carmichaelia.angusta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"Muehlenbeckia.axillaris",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Raoulia.lutescens",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Achillea.millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.repens",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corokia.cotoneaster",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Parahebe.decora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Celmisia.spectabilis",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"Raoulia.subsericea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Lupinus.polyphyllus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cassinia.fulvida",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
"Muehlenbeckia.complexa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hebe.brachysiphon",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Dracuphyllum.acerosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
