"plantas","Apis.mellifera","Bombus.terrestris","Hylaeus.relegatus","Hylaeus.sp1.M.PL.029","Lasioglossum.sordidum","Lasioglossum.sp1.M.PL.029","Leioproctus.boltonii","Leioproctus.fulvescens","Leioproctus.imitatus","Leioproctus.maritimus","Leioproctus.sp1.M.PL.029","Leioproctus.sp2.M.PL.029","Leioproctus.sp3.M.PL.029","Leioproctus.sp4.M.PL.029","Leioproctus.sp5.M.PL.029"
"Craspedia.uniflora",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Hebe.subalpina",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Epilobium.sp1.M.PL.029",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Hebe.epacridea",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pratia.angulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hieracium.praealtum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Celmisia.laricifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassinia.vauvilliersii",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Raoulia.grandiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parahebe.decora",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Celmisia.spectabilis",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"Galium.perpusillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raoulia.subsericea",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Wahlenbergia.albomarginata",0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
"Pratia.macrodon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllachne.colensoi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptospermum.scoparium",1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
"Helichrysum.bellidioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dracophyllum.pronum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anisotome.aromatica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leucogenes.grandiceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hieracium.pilosella",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Anisotome.flexuosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ourisia.caespitosa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aciphylla.scott-thompsoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geum.uniflorum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Hebe.pinguifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gentiana.montana",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Celmisia.petiolata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Galium.propinquum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drapetes.dieffenbachii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viola.cunninghamii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochaeris.radicata",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Helichrysum.selago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio.scorzoneroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia.sessiliflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muehlenbeckia.axillaris",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Euphrasia.zelandica",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ranunculus.enysii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cotula.pyrethrifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia.discolor",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Brachycome.sinlcairii",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Celmisia.lyalii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphrasia.revoluta",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Donatia.novae-zelandiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysanthemum.leucanthemum",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"Pimelea.traversii",0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
"Celmisia.gracilenta",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"Hebe.odora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
