"plantas","Anthidiellum.sp1.M.PL.030","Apis.mellifera","Augochlora.sp1.M.PL.030","Augochlora.sp2.M.PL.030","Augochloropsis.sp1.M.PL.030","Ceratina.sp1.M.PL.030","Dialictus.sp1.M.PL.030","Dialictus.sp2.M.PL.030","Euglossa.cordata","Eulaema.nigrita","Exomalopsis.sp1.M.PL.030","Megachile.sp1.M.PL.030","Melipona.favosa","Pereirapis.sp1.M.PL.030","Trigona.angustula","Xylocopa.fibriata"
"Ludwigia.nervosa",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
"Thalia.geniculata",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Heliconia.psittacorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synqonanthus.caulescens",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cuphea.o'donellii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmodium.barbatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pterolepis.glomerata",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Saggitaria.quyanensis",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Besmoscelis.villosa",0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"Sauvagesia.rubiginosa",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Diodia.multiflora",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xyris.laxifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ludwigia.decurrens",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Melochia.villosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montricharida.arborescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia.stephananthera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hyptis.conferta",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Aeschynomene.pratensis",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Clidemia.capitellata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sinningia.sp1.M.PL.030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mimosa.camporum",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tyttnera.scabra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xyris.savanensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caperonia.pallustris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shultesia.brachyptera",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton.hirtus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhynchanthera.serrulata",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hyptis.dilatata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
