"plantas","Apis.mellifera","Augochlora.sp1.M.PL.031","Augochloropsis.sp1.M.PL.031","Augochloropsis.sp2.M.PL.031","Augochloropsis.sp3.M.PL.031","Bombus.atratus","Bombus.pullatus","Bombus.volucelloides","Ceratina.sp1.M.PL.031","Dialictus.sp1.M.PL.031","Dialictus.sp2.M.PL.031","Euglossa.sp1.M.PL.031","Eulaema.meriana","Exomalopsis.sp1.M.PL.031","Hylaeus.sp1.M.PL.031","Melipona.compresipes","Melipona.scutellaris","Xylocopa.sp1.M.PL.031"
"Pagameopsis.garryoides",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Clusia.grandiflora",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"Digomphia.laurifolia",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"Ternstroemia.crassifolia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tococa.nitens",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bonnetia.sessilis",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"Epistephium.duckei",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Marcetia.taxifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vismia.lauriformis",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Cyrilla.racemiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sipanea.galioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilex.retusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Galactophora.schomburgkiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Tibouchina.fraterna",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
"Meriana.sclerophylla",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Philodendron.ptarianum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humiria.balsamifera",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Epidendrum.ibaguense",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Sauvagesia.angustifolia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brocchinia.acuminata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia.ciliata",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phthirusa.adunca",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cybianthus.quelchii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium.puberulum",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Heliamphora.heterodoxa",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Xyris.setigera",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mikania.psilotachya",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Clusia.pusilla",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"Mandevilla.benthamii",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sobralia.liliastrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Vaccinium.euryanthum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Befaria.glauca",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Declieuxia.fruticosa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Calea.lucidivenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Stegolepsis.angustata",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"Pogonia.stricta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poecilandra.retusa",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"Siphanthera.cordifolia",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Catasetum.discolor",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Vernonia.bolivariensis",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Macairea.pachyphylla",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Chromolanea.sp1.M.PL.031",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Remijia.densiflora",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notopora.schomburgkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Borreria.capitata",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Irlbachia.nemorosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macairea.parvifolia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Eriopsis.biloba",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
