"plantas","Andrena.alleghaniensis","Andrena.bradleyi","Andrena.carlini","Andrena.carolina","Andrena.mandibularis","Andrena.regularis","Andrena.vicina","Apis.mellifera","Bombus.terricola","Colletes.inaequalis","Dialictus.pilosus","Pyrobombus.impatiens","Pyrobombus.perplexus","Pyrobombus.sandersoni","Pyrobombus.ternarius"
"Ledum.groenlandicum",2,0,1,4,9,31,11,0,22,3,0,5,0,3,9
"Kalmia.polifolia",0,2,0,0,13,6,1,1,0,0,4,1,1,1,3
"Calopogon.pulchellus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chamaedaphne.calyculata",0,25,6,0,1,4,19,0,0,6,0,1,0,1,1
"Salix.fragilis",0,5,1,1,0,0,11,1,3,51,0,0,2,2,2
"Smilacina.trifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium.myrtilloides",0,12,1,6,1,10,7,20,14,11,0,17,14,7,16
"Andromeda.glaucophylla",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"Aronia.melanocarpa",3,0,0,0,0,7,1,0,0,2,7,0,2,2,1
"Gaylussacia.baccata",0,4,0,5,0,7,29,1,7,0,0,3,0,14,6
"Nemopanthus.mucronata",6,0,2,0,7,1,4,1,0,0,1,0,0,0,1
"Kalmia.angustifolia",0,0,0,0,3,0,0,0,0,0,0,0,0,2,3
"Spiraea.alba",0,0,0,0,0,0,0,0,36,0,0,1,2,2,7
