"plantas","Apis.mellifera","Bombus.dahlbomii","Cadeguala.albopilosa","Cadeguala.occipitalis","Caenohalictus.movilicornis","Corynura.aff..atrovirens","Corynura.aff..lepida","Corynura.corynogastra","Corynura.patagonica","Corynura.rubella","Diphaglossa.gayi"
"Gevuina.avellana",1,0,1,1,1,1,0,0,0,0,0
"Gaultheria.mucronata",0,0,0,0,0,0,0,0,0,0,0
"Luma.apiculata",1,1,0,0,0,0,0,0,1,1,0
"Asteranthera.ovata",0,1,0,0,0,0,0,0,0,0,0
"Eucryphia.cordifolia",1,1,0,0,0,0,0,0,0,0,0
"Luzuriaga.polyphylla",0,1,0,0,0,0,0,0,0,0,1
"Myrteola.nummularia",0,0,0,0,0,0,0,0,0,0,0
"Caldcluvia.paniculata",1,1,0,0,0,0,0,0,0,0,0
"Myrceugenia.parvifolia",1,1,0,0,0,0,0,0,1,0,0
"Amomyrtus.luma",1,1,1,1,0,0,0,0,1,0,0
"Ovidia.pillopillo",1,1,1,0,1,0,0,0,0,0,0
"Tepualia.stipularis",1,1,1,0,0,0,0,0,0,0,0
"Ugni.molinae",1,1,0,0,0,0,0,0,0,0,0
"Hydrangea.serratifolia",1,1,0,0,0,0,0,0,1,1,0
"Mitraria.coccinea",0,1,0,0,0,0,0,0,0,0,0
"Amomyrtus.meli",1,1,1,0,0,0,0,1,1,0,1
"Berberis.darwinii",1,1,1,0,1,0,0,0,1,0,0
"Embothrium.coccineum",1,0,0,0,0,0,0,0,0,0,1
"Luzuriaga.radicans",0,1,0,0,0,0,0,0,0,0,1
"Myrceugenia.planipes",1,1,0,0,1,0,0,1,1,0,0
"Ugni.candollei",0,1,0,0,0,0,0,0,0,0,0
"Gaultheria.phillyreifolia",1,1,1,0,0,0,0,0,1,0,0
"Rhaphithamnus.spinosus",1,1,1,0,0,0,0,0,1,0,0
"Myrceugenia.ovata.var..ovata",1,1,0,1,1,0,1,0,1,1,0
"Anagallis.alternifolia",0,0,0,0,0,0,0,0,0,0,0
"Berberis.buxifolia",1,1,1,0,0,0,0,0,0,0,0
