"plantas","Apis.mellifera","Centris.dirrhoda","Centris.sp1.M.PL.035","Euglossa.cordata","Exomalopsis.sp1.M.PL.035","Xylocopa.sp1.M.PL.035"
"Piscidia.piscipula",1,0,0,0,0,0
"Euphorbia.heterophylla",0,0,0,0,0,0
"Jacquinia.arborea",0,0,0,0,0,0
"Alternanthera.ficoidea",1,0,0,0,0,0
"Cassia.sp1.M.PL.035",0,0,0,1,0,0
"Bourreria.succulenta",0,0,0,0,0,0
"Bunchosia.media",0,1,1,0,0,0
"Bursera.simaruba.",1,0,0,0,0,1
"Ipomoea.tiliacea",0,0,0,0,0,0
"Waltheria.indica",0,0,0,0,0,0
"Melochia.nodiflora",0,0,0,0,0,0
"Conocarpus.erectus",0,0,0,0,0,0
"Merremia.umbellata",0,0,0,0,0,0
"Broughtonia.sanguinea",0,0,0,0,0,0
"Byrsonia.coriacea",0,0,0,0,0,0
"Morinda.royoc",1,1,0,0,0,0
"Stachytarpheta.jamaicensis",1,0,0,0,0,0
"Sesuvium.portulacastrum",0,0,0,0,1,0
"Thunbergia.fragrans",0,0,0,0,0,0
"Crotalaria.verrucosa",0,0,1,0,0,0
"Philoxerus.vermicularis",0,0,0,0,0,0
"Mimosa.pudica",0,0,0,0,1,0
"Sarcostemma.clausum",1,0,0,0,0,0
"Solanum.torvum",0,0,0,0,0,0
"Ipomoea.acuminata",0,0,0,0,0,0
"Eupatorium.odoratum",0,0,0,0,0,0
"Ascleptas.curassavica",0,0,0,0,0,0
"Cissus.sicycoides",0,0,0,0,0,0
"Solanum.havanense",0,0,0,1,0,0
"Cordia.globosa",1,0,0,0,0,0
"Guazuma.ulmifolia",0,0,0,0,0,0
"Lippia.nodiflora",0,0,0,0,0,0
"Capparis.ferruginea",1,0,0,0,0,0
"Stylosanthes.hamata",0,0,0,0,0,0
"Lantana.involucrata",1,0,0,0,0,0
"Blechum.pyramidatum",0,0,0,0,0,0
"Solanum.erianthum",0,0,0,1,0,0
"Rhabdadenia.biflora",0,0,0,0,0,0
"Physalis.angulata",0,0,0,0,0,0
"Spilanthes.urens",1,0,0,0,1,0
"Indigofera.tinctoria",0,0,0,0,0,0
"Cordia.gerascanthus",1,0,0,0,0,0
"Euphorbia.hyssopifolia",0,0,0,0,0,0
"Ehretia.tinifolia",1,0,0,0,0,0
"Turnera.ulmifolia",0,0,0,0,0,0
"Cassia.occidentalis",0,0,0,1,0,0
"Argythamnia.candicans",0,0,0,0,0,0
"Cordia.brownei",0,0,0,0,0,0
"Avicennia.germinans",1,0,0,0,0,0
"Evolvulus.nummularius",1,0,0,0,0,0
"Malpighia.glabra",0,0,0,0,0,0
"Vernonia.cinerea",0,0,0,0,0,0
"Mikania.micrantha",1,0,0,0,0,0
"Borreria.laevis",1,0,0,0,1,0
"Cordia.sebestena",0,0,0,0,0,0
"Urechites.lutea",0,0,0,0,0,0
"Capraria.biflora",1,0,0,0,0,0
"Bauhinia.divaricata",1,0,0,0,0,0
"Tribulus.cistoides",1,0,0,0,0,0
"Momordica.charantia.",0,0,0,0,0,0
"Lantana.camara",0,0,0,0,0,0
