"plantas","Amegilla.canifrons","Amegilla.quadrifasciata","Amegilla.sp1.M.PL.058","Andrena.vucana","Anthophora.alluardii","Anthophora.orotavae","Apis.mellifera","Eucera.gracilipes","Hylaeus.sp1.M.PL.058","Lasioglossum.evylaeus","Sphecodes.marginatus"
"Sideritis.nervosa",0,0,0,0,0,1,0,1,0,1,0
"Convolvulus.floridus",0,0,1,0,0,0,0,1,0,1,0
"Plocama.pendula",0,0,0,0,0,0,1,1,0,1,0
"Ceballosia.fruticosa",0,0,0,0,0,0,0,0,0,1,1
"Fagonia.albiflora",0,0,0,0,0,1,0,1,0,0,0
"Echium.aculeatum",1,0,1,0,1,0,1,1,0,0,0
"Scandix.pecten-veneris",0,0,0,0,0,0,0,0,0,0,0
"Euphorbia.canariensis",0,0,0,1,0,0,0,0,1,1,0
"Sideritis.argosphacelus",0,0,0,0,0,0,1,1,0,1,0
"Argyranthemum.frutescens",0,0,1,0,0,0,0,1,0,1,0
"Galactites.tomentosa",1,0,1,0,0,0,1,1,0,1,0
"Euphorbia.obtusifolia",0,0,0,0,0,0,1,1,1,1,0
"Lotus.glaucus",1,0,1,0,1,1,0,1,0,0,0
"Bituminaria.bituminosa",0,1,1,0,1,0,0,1,0,1,0
"Oxalis.pes-caprae",0,1,0,0,1,0,0,0,0,1,0
"Echium.plantagineum",1,0,1,0,1,1,0,1,0,1,0
"Lavandula.buchii",1,1,1,0,1,1,1,1,0,1,0
