"plantas","Agapostemon.sp1.M.PL.040","Apis.mellifera","Centris.sp1.M.PL.040","Centris.sp2.M.PL.040","Euglossa.jamaicensis","Xylocopa.sp1.M.PL.040"
"Wallenia.laurifolia",0,0,0,0,0,0
"Unidentified.sp13.M.PL.040",0,6,0,4,1,1
"Unidentified.sp22.M.PL.040",0,0,0,0,0,2
"Portlandia.grandiflora",1,0,0,0,0,0
"Psidium.montanum",0,0,0,0,0,0
"Unidentified.sp17.M.PL.040",0,0,0,0,0,0
"Unidentified.sp16.M.PL.040",0,0,0,0,3,0
"Spermacoce.assurgens",0,0,0,0,0,0
"Tradescantia.zebrina",0,0,0,0,0,0
"Unidentified.sp18.M.PL.040",0,3,0,0,0,2
"Pilea.sp1.M.PL.040",0,0,0,0,0,0
"Aechmea.paniculigera",0,0,0,0,26,0
"Unidentified.sp23.M.PL.040",0,0,0,0,0,0
"Pilea.sp2.M.PL.040",0,0,0,0,0,0
"Unidentified.sp20.M.PL.040",0,0,0,0,0,0
"Unidentified.sp19.M.PL.040",0,0,0,0,0,0
"Nectandra.coriacea",0,0,0,0,0,0
"Guarea.swartzii",0,0,2,0,0,0
"Petiveria.sp1.M.PL.040",0,0,0,0,0,0
"Byrsonima.sp1.M.PL.040",0,0,0,0,0,0
"Miconia.sp1.M.PL.040",0,3,1,2,8,27
"Passiflora.sp1.M.PL.040",0,0,0,0,0,0
"Dendropanax.arboreus.",0,44,0,0,0,0
"Blakea.trinervia",0,0,0,0,6,0
"Impatiens.walleriana",0,0,0,0,0,0
"Dendropanax.sp1.M.PL.040",0,22,14,0,0,0
"Unidentified.sp15.M.PL.040",5,1,0,23,1,2
"Unidentified.sp14.M.PL.040",0,0,0,0,0,0
"Unidentified.sp21.M.PL.040",0,0,0,0,0,0
