"plantas","Apis.mellifera","Xylocopa.sp1.M.PL.041"
"Ipomoea.tiliacea",1,0
"Cordia.sp1.M.PL.041",5,0
"Gonzalagunia.hirsuta",1,0
"Cornutia.pyramidata",0,14
"Sida.rhombifolia",0,0
"Lantana.involucrata",0,0
"Oxalis.frutescens",0,0
"Vernonia.sp1.M.PL.041",6,1
"Byrsonima.spicata",0,0
"Centrosema.virginianum",0,0
"Coccoloba.sp1.M.PL.041",0,1
"Unidentified.sp21.M.PL.041",3,0
"Palicourea.crocea.",0,0
"Lantana.camara",0,0
"Daphnopsis.americana",10,0
"Odontonema.nitidum",0,0
"Tetrazygia.angustifolia",0,0
"Wedelia.trilobata",1,0
"Croton.flavens",0,0
"Cordia.martinicensis",14,27
"Mimosa.casta",26,0
"Desmodium.adscendens",0,0
"Miconia.striata",0,0
"Spermacoce.assurgens",0,0
"Oxalis.barrelieri",0,0
"Calliandra.tergemina",1,1
"Ludwigia.octovalvis",0,0
"Stigmaphyllon.diversifolium",0,0
"Chamaecrista.glandulosa",0,1
"Wedelia.calycina",10,0
"Guettarda.scabra",0,0
