"plantas","Amegilla.dulcifera.subflavescens","Andrena.amamiensis","Andrena.edashigei","Andrena.esakki","Andrena.hirashimai","Andrena.Knuthi","Andrena.opacifovea","Apis.cerana","Apis.mellifera","Ceratina.okinawana","Ceratina.satoi","Chalicodoma.disjunctiformis","Colletes.perforator","Hylaeus.insularum","Lasioglossum.amamiensis","Lasioglossum.nutilum","Lasioglossum.sp1.M.PL.044","Lasioglossum.sp2.M.PL.044","Lasioglossum.sp3.M.PL.044","Lasioglossum.subopacum","Megachile.nipponica.amamiensis","Megachile.okinawana","Nomia.pavonula","Tetralonia.okinawae.okinawae","Xylocopa.amamensis"
"Ardisia.quinquegona",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"Kandetia.candel",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Peucedanum.joponicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"Morinda.umbellata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meliosma.oldhamii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrsine.segttinii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysimachia.mauiriana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aster.asa-grayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maackia.tashiroi",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
"Deutzia.naseana",0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Clerodendrum.trichotomum",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"Ampetopsis.brevipedunculata",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Pinus.luchuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euscaphis.japonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
