"plantas","Apis.mellifera","Bombus.lapidarius","Bombus.pascuorum","Bombus.terrestris"
"Epilobium.hirsutum",1,1,1,1
"Torilis.japonica",0,0,0,0
"Trifolium.arvense",1,1,1,1
"Silene.dioica",0,0,0,0
"Unidentified.sp27.M.PL.046",1,0,0,0
"Ranunculus.sp1.M.PL.046",0,0,0,0
"Cirsium.arvense",1,1,1,1
"Rubus.fruticosus",0,0,1,1
"Cirsium.pratensis",0,1,1,1
"Umbellifer.sp1.M.PL.046",0,0,0,1
"Stachys.sylvatica",1,1,1,1
"Anthriscus.sylvestris",0,0,0,0
"Trfolium.sp1.M.PL.046",0,0,1,0
"Chamaenerium.angustifolium",0,0,1,0
"Lathyrus.pratensis",0,1,1,1
"Angelica.archangelica",0,0,0,1
