"plantas","Apis.mellifera","Bombus.agrorum","Bombus.hortorum","Bombus.hypnorum","Bombus.lucorum","Bombus.pratorum","Bombus.terestis","Halictus.calceatus","Halictus.leucopus","Halictus.quadrinotatus","Macropis.labiata","Prosopis.communis"
"Cirsium.vulgare",1,1,0,1,1,1,1,0,0,0,1,0
"Trifolium.campestre",0,0,0,0,0,0,0,0,0,1,0,0
"Lathyrus.montanus",0,1,0,0,0,0,0,0,0,0,0,0
"Vicia.sepium",0,1,0,0,0,0,1,0,0,0,0,0
"Geranium.robertianum",0,0,0,0,0,0,0,0,0,0,0,0
"Stellaria.palustris",0,0,0,0,0,0,0,0,0,0,0,0
"Filipendula.ulmaria",0,0,0,0,1,0,1,0,0,0,0,0
"Myosotis.palustris",0,0,0,0,0,0,0,0,0,0,0,0
"Valeriana.officinalis",0,0,0,0,0,1,0,0,0,0,0,0
"Cirsium.oleraceum",1,1,1,1,1,1,1,0,0,0,0,0
"Lysimachia.vulgaris",0,0,0,0,0,0,0,0,0,0,1,0
"Ajuga.reptans",0,0,0,0,0,0,0,0,0,0,0,0
"Veronica.serpyllifolia",0,0,0,0,0,0,0,0,1,0,0,0
"Veronica.chamaedrys",0,0,0,0,0,0,0,0,0,1,0,0
"Trifolium.pratense",0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus.acris",0,0,0,0,0,0,0,0,0,0,0,0
"Vicia.cracca",0,1,0,0,1,0,0,0,0,0,0,0
"Mentha.aquatica",0,0,0,0,1,0,1,0,0,0,0,1
"Potentilla.erecta",0,0,0,0,0,0,0,0,0,1,0,0
"Angelica.sylvestris",1,0,0,0,1,0,0,0,0,0,0,0
"Polygonum.amphibium",1,0,0,0,0,0,0,0,0,0,0,0
"Lythrum.salicaria",0,1,0,0,0,1,0,0,0,0,0,0
"Lychnis.flos-cuculi",0,1,1,0,0,0,0,0,0,0,0,0
"Silene.dioica",0,0,0,0,0,0,0,0,0,0,0,0
"Geum.rivale",0,1,0,0,0,0,0,0,0,0,0,0
"Cerastium.fontanum",0,0,0,0,0,0,0,0,1,0,0,0
"Lotus.uliginosus",0,1,0,0,0,1,1,0,0,0,0,0
"Centaurea.jacea",1,0,0,0,1,1,1,1,0,0,0,0
"Trifolium.repens",0,1,0,0,1,0,0,0,0,1,0,0
"Anthriscus.sylvestris",0,0,0,0,0,0,0,0,0,0,0,0
"Lathyrus.pratensis",0,1,0,0,0,0,0,0,0,0,0,0
"Galium.palustre",0,0,0,0,0,0,0,0,0,0,0,0
"Stellaria.graminea",0,0,0,0,0,0,0,0,0,0,0,0
"Crepis.paludosa",0,0,0,0,0,1,0,0,0,0,0,0
"Pimpinella.major",0,0,0,0,1,0,0,0,0,0,0,0
"Veronica.beccabunga",0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus.flammula",0,0,0,0,0,0,0,0,0,0,0,0
