"plantas","Amegilla.canifrons","Amegilla.quadrifasciata","Amegilla.sp1.M.PL.050","Anthophora.alluardii","Anthophora.orotavae","Apis.mellifera","Eucera.gracilipes","Hylaeus.sp1.M.PL.050","Lasioglossum.evylaeus","Sphecodes.marginatus"
"Ceballosia.fruticosa",0,0,0,0,0,0,0,0,0,1
"Echium.aculeatum",0,1,0,0,0,0,0,0,0,0
"Lotus.sp1.M.PL.050",0,0,0,0,0,0,1,0,0,0
"Parolinea.intermedia",1,0,1,0,1,1,1,0,1,1
"Plocama.pendula",0,0,0,0,0,1,0,1,1,1
"Convolvulus.sp1.M.PL.050",0,0,1,0,0,0,1,0,1,1
"Argyranthemum.frutescencs",0,0,0,0,0,0,1,0,1,0
"Fagonia.albiflora",0,0,0,0,0,0,1,0,0,0
"Echium.bonnetii",0,1,0,0,1,0,1,0,1,0
"Lavandula.buchii",1,1,1,1,1,0,1,0,1,1
"Periploca.laevigata",0,0,0,0,0,0,0,0,0,0
"Euphorbia.canariensis",0,0,0,0,0,0,0,1,1,0
"Noechamaelea.pulverulenta",0,0,0,0,0,0,0,0,0,0
"Euphorbia.obtusifolia",0,0,0,0,0,0,0,1,1,1
