"plantas","Bombus.dahlbomii","Bombus.ruderatus","Caenohalictus.sp1.M.PL.051","Caenohalictus.sp2.M.PL.051","Chalepogenus.caeruleus","Chilicola.sp1.M.PL.051","Chilicola.sp2.M.PL.051","Chilicola.sp3.M.PL.051","Colletes.seminitidus","Corynura.prothysteres","Corynura.sp1.M.PL.051","Evylaeus.sp1.M.PL.051","Heterosarus.sp1.M.PL.051","Manuelia.gayi","Manuelia.postica","Megachile.sp1.M.PL.051","Megachile.sp2.M.PL.051","Ruizantheda.mutabilis","Ruizantheda.nigrocaerulea","Ruizantheda.proxima","Svastrides.melanura"
"Vicia.nigricans",469,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aristotelia.chilensis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,172,0,0,0
"Schinus.patagonicus",16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,240,0,0,0
"Tristerix.corymbosus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Berberis.buxifolia",2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis.darwinii",265,0,48,0,0,0,0,0,77,0,0,0,0,1,5,0,0,9,0,0,0
"Cynanchum.diemii",0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"Calceolaria.crenatiflora",4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ribes.magellanicum",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Digitalis.purpurea",66,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0
"Mutisia.decurrens",19,0,0,1,0,0,0,0,0,0,0,1,8,6,0,0,0,0,0,0,0
"Rosa.eglanteria",24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,3,0,0
"Alstroemeria.aurea",583,173,0,0,0,7,2,1,0,3,0,6,22,101,11,17,6,17,5,4,8
"Gavilea.odoratissima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
