"plantas","Andrena.benefica","Andrena.brassicae","Andrena.japonica","Andrena.Knuthi","Andrena.komachi","Andrena.opacifovea.opacifovea","Andrena.protomias","Andrena.yamamotoi","Anthidium.septemspinosum","Anthophora.pilipes.villosula","Apis.cerana.japonica","Apis.mellifera","Bombus.ardens","Bombus.diversus.diversus","Bombus.hypocrita.hypocrita","Bombus.ignitus","Ceratina.esakii","Ceratina.flavipes","Ceratina.iwatai","Ceratina.japonica","Chalicodoma.disjunctiformis","Chalicodoma.sculpturalis","Chalicodoma.sp1.M.PL.054","Coelioxys.fenestrata","Coelioxys.yanonis","Colletes.sp1.M.PL.054","Colletes.sp2.M.PL.054","Halictus.aerarius","Hylaeus.floralis","Hylaeus.nippon","Lasioglossum.baleicum","Lasioglossum.duplex","Lasioglossum.exiliceps","Lasioglossum.japonicum","Lasioglossum.mutilum","Lasioglossum.occidens","Lasioglossum.proximatum","Lasioglossum.scitulum","Lasioglossum.sibiriacum","Lasioglossum.sp1.M.PL.054","Lasioglossum.sp2.M.PL.054","Lasioglossum.taniolellum","Lithurgus.collaris","Megachile.kobensis","Megachile.nipponica","Megachile.pseudomonticola","Megachile.remota.sakagamii","Megachile.subalbuta","Megachile.tsurugensis","Nomada.ginran","Nomada.japonica","Nomada.shepparadana.okubira","Osmia.imaii","Osmia.orientalis","Osmia.taurus","Panurginus.crawfordi","Tetralonia.mitsukurii","Tetralonia.nipponens","Xylocopa.appendicuiata.circumvolan","Xylocopa.appendiculata.circumvolan"
"Rorippa.indica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forsythia.suspensa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa.borboniana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Spiraea.blumei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persicaria.thunbergii",0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buddleia.davidii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Securinega.suffruticosa",0,0,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deutzia.maximowicziana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viola.mandshurica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Hibiscus.syriacus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
