"plantas","Andrena.aburana","Andrena.brenihirtiscopa","Andrena.lapponica","Andrena.longitibialis","Andrena.parathoracina","Andrena.togashii","Andrena.yamato","Apis.mellifera","Bombus.ardens","Bombus.beaticola","Bombus.consobrinus","Bombus.diversus","Bombus.honshuensis","Bombus.hypocrita","Hylaeus.paradifformis","Hylaeus.thoracius","Lasioglossum.albipes","Lasioglossum.apristum","Lasioglossum.atroglaucum","Lasioglossum.harmandi","Lasioglossum.laeviventre","Lasioglossum.nipponense","Lasioglossum.problematicum","Lasioglossum.proximatum","Lasioglossum.sp.K1","Lasioglossum.sp.K2","Lasioglossum.sp1.M.PL.056","Megachile.sp1.M.PL.056","Megachile.sumizome","Megachile.tsurugensis","Nomada.issikii","Nomada.sp1.M.PL.056"
"Cacalia.hastata.farfaraefolia",0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aster.ageratoides.amplexifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aconitum.japonicum.montanum",0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea.alpina.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philadelphus.satsumi",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer.japonicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elaeagnus.montana",0,0,0,0,0,0,0,0,6,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Menziesia.pentandra",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cynanchum.ascyrifolium",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euonymus.sieboldianus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaphalis.margaritacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Meehania.urticifolia",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fragaria.nipponica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aconitum.senanense",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
