"plantas","Amegilla.femorata","Andrena.sp1.M.PL.058","Anthidium.sp1.M.PL.058","Anthidium.sticticum","Anthophora.sp1.M.PL.058","Apis.mellifera","Bombus.terrestris","Ceratina.cucurbitina","Colletes.sp1.M.PL.058","Eucera.sp1.M.PL.058","Halictus.gemmeus","Halictus.pyrenaicus","Halictus.sp1.M.PL.058","Hylaeus.nigritus","Hylaeus.sp2.M.PL.058","Hylaeus.variegatus","Lasioglossum.sp1.M.PL.058","Megachile.sp1.M.PL.058","Megachile.sp2.M.PL.058","Nomada.sp1.M.PL.058","Osmia.sp1.M.PL.058","Sphecodes.sp1.M.PL.058","Xylocopa.sp1.M.PL.058"
"Sonchus.tenerrinus",0,51,0,1,0,9,1,0,1,0,2,4,0,0,3,0,7,0,0,3,0,1,0
"Helichrysum.stoechas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypericum.perfolatum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eryngium.campestre",0,5,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0
"Psoralea.bituminosa",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Scabiosa.stellata",0,1,0,0,0,11,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Ruta.chalepensis",0,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"Cistus.monspeliensis",1,19,0,2,0,2,0,0,0,0,0,1,0,0,1,1,5,0,0,0,0,2,0
"Brassica.fruticulosa",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus.officinalis",2,1,0,3,0,16,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Dianthus.caryophillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus.carota.carota",0,10,0,0,0,1,0,0,0,0,10,0,0,0,4,0,3,0,0,0,0,0,0
"Vicea.lutea",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbia.segatalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cistus.salvifolius",1,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Urospermum.picrioides",0,13,0,0,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0
"Alyssum.maritimum",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Helianthemum.guttatum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lathyrus.clymenum",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Opuntia.stricta",0,1,5,2,0,33,18,0,0,0,0,5,0,2,0,0,3,0,0,0,0,0,15
"Convolvulus.althaeoides",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"Linum.sp1.M.PL.058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Aetheorrina.bulbosa",0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"Cistus.albidus",0,15,0,8,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0
"Thymelaea.hirusta",0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Sedum.sediforme",0,3,1,0,0,1,1,0,2,0,6,1,1,0,0,0,0,0,0,1,0,0,0
"Equium.sabulicola",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Galactites.tomentosa",0,1,1,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
"Carpobrotus.sp1.M.PL.058",0,4,0,5,0,7,14,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0
"Dorychnium.pentaphylum",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula.stoechas",8,3,1,31,2,20,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,1,0
"Allium.ampeloprasum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
