"plantas","Apis.mellifera"
"Eugenia.orbiculata",1
"Coffea.macrocarpa",1
"Pandanus.wiehii",0
"Croton.fothergillifolius",2
"Badula.platiphylla",0
"Tabernaemontana.persicarifolia",0
"Antirhea.borbonica",1
"Molinaea.macrantha",0
"Ocotea.laevigata",0
"Trochetia.blackburniana",19
"Psathura.terniflora",0
"Pleurostylia.leucocarpa.",0
"Gaertnera.sp1.M.PL.080",4
"Gaertnera.sp1.M.PL.070",0
"Casearia.coriacea",12
"Bertiera.zaluzania.",94
"Olea.lancea",2
"Smilax.anceps",1
"Pandanus.rigidifolius",2
"Mimusops.erythroxylon",2
"Homalanthus.populifolius",0
"Ochna.mauritiana",24
"Gaertnera.rotundifolia",0
"Memecylon.ovatifolium",2
"Antidesma.madagascariense",0
"Euodia.obtusifolia",1
"Coffea.mauritiana",8
"Syzygium.coriaceum",0
"Faujasiopsis.flexuosa",2
"Gaertnera.sp1.M.PL.079",1
"Sideroxylon.puberulum",232
"Warneckea.trinervis",22
"Xyris.sp1.M.PL.069",0
"Grangeria.borbonica",40
"Xylopia.lamarckii",0
"Bakerella.hoyifolia",2
"Molinaea.alternifolia",54
"Syzygium.petrinese",17
"Stillingia.lineata",1
"Doratoxylon.apetalum",0
"Polyscias.mauritiana",0
"Harungana.madagascariensis",0
"Gaertnera.sp1.M.PL.082",2
"Syzygium.mauritianum",2
"Chassalia.coriacea",1
"Roussea.simplex.",22
"Helichrysum.proteoides",6
"Labourdonnaisia.callophylloides",75
"Dodonaea.viscosa",0
"Croton.grangeroides",0
"Diospyros.revaughanii",49
"Agauria.salicifolia",3
"Gaertnera.sp1.M.PL.066",1
"Chassalia.petrinensis",0
"Embelia.angustifolia",0
"Erythroxylum.macrocarpum",2
"Cordemoya.integrifolia",5
"Turraea.rigida",1
"Euodia.chapelieri",2
"Erythrospermum.monticolum",0
"Myonima.violacea",18
"Wikstroemia.indica",0
"Calophyllum.eputamen",13
"Claoxylon.linostachys",0
"Gaertnera.petrinensis",1
"Gaertnera.sp1.M.PL.068",1
"Phyllanthus.phillyreifolius",0
"Psiadia.terebinthina",35
"Tristhema.mauritiana",0
"Monimiastrum.globosum",1
"Dracaena.reflexa",21
"Gaertnera.sp1.M.PL.078",0
"Toddalia.asiatica",0
"Gaertnera.sp1.M.PL.069",3
"Rubus.alcefolius",2
"Sideroxylon.cinereum",231
"Aphloia.theiformis",139
"Pandanus.barklyi",66
"Psidium.cattleianum",5
"Gaertnera.sp1.M.PL.067",0
"Gaertnera.sp1.M.PL.081",5
"Xyris.sp1.M.PL.071",0
"Geniostoma.borbonicum",4
"Flagellaria.indica",2
"Syzygium.venosum",4
"Badula.insularis",1
"Pittosporum.senacia",16
"Gaertnera.sp1.M.PL.077",1
"Syzygium.glomeratum",0
"Pyrostria.fasciculata",26
"Syzygium.commersonii",0
