"plantas","Apis.mellifera","Ceratina.tabescens","Lasioglossum.mahense","Megachile.seychellensis","Xylocopa.caffra"
"Diospyros.seychellarum",34,0,10,6,0
"Roscheria.melanochaetes",14,0,8,0,0
"Phoenicophorium.borsigianum",111,0,304,1,1
"Medusagyne.oppositifolia",73,0,1,0,0
"Northea.hornei",43,0,1,0,0
"Psychotria.pervillei",151,0,58,2,0
"Craterispermum.microdon",34,0,18,0,0
"Alstonia.macrophylla",15,0,5,0,0
"Nepenthes.pervillei",19,0,1,0,0
"Soulamea.terminaloides",0,0,0,0,0
"Ochna.kirkii",3,0,1,0,46
"Chrysobalanus.icaco",295,0,8,0,0
"Excoecaria.benthiamiana",26,0,0,1,0
"Erythroxylum.sechellarum",223,0,317,4,0
"Dillenia.suffruticosa",9,0,0,0,44
"Mimusops.sechellarum",11,0,18,0,0
"Euphorbia.pyrifolia",1,0,16,0,0
"Colea.seychellarum",1,0,0,0,0
"Nephrosperma.vanhoutteanum",678,9,811,37,0
"Aphloia.theiformis",1,0,2,0,0
"Ixora.pudica",0,0,0,0,0
"Dracaena.reflexa",0,0,3,0,0
"Timonius.sechellensis",0,0,0,0,0
"Campnosperma.seychellarum",0,1,0,0,0
"Paraserianthes.falcataria",10,0,4,0,0
"Dillenia.ferruginea",222,0,94,1,4
"Psidium.cattleianum",116,0,2,0,9
"Canthium.bibracteatum",277,27,126,57,1
"Memecylon.eleagni",277,0,78,2,1
"Glionnetia.sericea",0,0,0,0,0
"Gastonia.crassa",56,0,13,0,0
"Cinnamomum.verum",74,0,27,1,0
"Deckenia.nobilis",149,0,41,0,0
"Paragenipa.wrightii",180,1,185,1,2
"Pittosporum.senacia",50,1,15,5,0
"Premna.serratifolia",11,0,48,17,0
"Syzygium.wrightii",16,0,3,0,6
