"plantas","Apis.mellifera.Linnaeus"
"Syzygium.coriaceum",0
"Euodia.obtusifolia.ssp.gigas.var.gigas",0
"Gaertnera.psychotrioides.edentata",1.752020202
"Psidium.cattleianum",1.8
"Diospyros.revaughanii",4.7222222222
"Coffea.macrocarpa",0
"Stillingia.lineata.ssp.lineata",0
"Antidesma.madagascariense",0
"Psiadia.terebinthina",1.0095238095
"Rubus.alcefolius",1.3
"Xylopia.lamarckii",0
"Clidemia.hirta",0
"Pittosporum.senacia",0
"Aphloia.theiformis",4.988034188
"Chassalia.coriacea.var.coriacea",0.1333333333
"Doratoxylon.apetalum.var.diphyllum",0
"Homalanthus.populifolius",0
"Psathura.terniflora",0
"Bertiera.zaluzania",10.808974359
"Syzygium.commersonii",0
"Helichrysum.proteoides",0.125
"Dracaena.reflexa.var.angustifolia",0.5
"Gaertnera.rotundifolia",0
"Badula.insularis",0
"Syzygium.petrinese",1.512605042
"Grangeria.borbonica",2.6879500891
"Turraea.rigida",0
"Cordemoya.integrifolia",0
"Dodonaea.viscosa",0
"Molinaea.alternifolia",2.4980952381
"Badula.platiphylla",0
"Claoxylon.linostachys.ssp.brachyphyllum",0
"Flagellaria.indica",0
"Ardisia.crenate",0
"Labourdonnaisia.callophylloides",6.7411976912
"Syzygium.glomeratum",0
"Smilax.anceps",0
"Toddalia.asiatica",0
"Embelia.angustifolia",0
"Sideroxylon.cinereum",8.8642059695
"Calophyllum.eputamen.var.eputamen",2.619047619
"Faujasiopsis.flexuosa.ssp.erecta",1.1111111111
"Coffea.mauritiana",0
"Euodia.chapelieri.var.chapelieri",0
"Harungana.madagascariensis",0
"Wikstroemia.indica",0
"Casearia.coriacea",1.7377005348
"Olea.lancea",0.0740740741
"Trochetia.blackburniana",4.1666666667
"Croton.grangeroides",0.0285714286
"Tabernaemontana.persicarifolia",0
"Warneckea.trinervis",0.290952381
"Sideroxylon.puberulum",6.1423809524
"Ossaea.marginata",0
"Tristhema.mauritiana",0
"Phyllanthus.phillyreifolius.var.telfairianus",0
"Antirhea.borbonica",0.08
"Croton.fothergillifolius",0.1
"Erythroxylum.macrocarpum",0.2
"Erythrospermum.monticolum.var.monticolum",0
"Eugenia.orbiculata",0
"Molinaea.macrantha",0
"Ochna.mauritiana",1.7525879917
"Myonima.violacea.var.ovata",1.4392424242
