"plantas","Bombus.morio","Epicharis.obscura","Euglossa.chalybeata","Euglossa.sp","Trigona.fulviventris"
"Vriesea.psittacina",0,0,0,0,0
"Aechmea.nudicaulis",0,0,0,0,0
"Aechmea.mutica",0,0,0,0,1
"Billbergia.amoena",0.2,0,0,0.2,0
"Aechmea.lingulata",0,3,0,0,0
"Neoregelia.sp",0,0,0.9,0.6,0
"Tillandsia.tenuifolia",0,0,0,0,2
"Nidularium.procerum",0,0,0,0,0
"Nidularium.cariacicaense",0.1,0,0,0,0
"Neoregelia.magdalaenae",0,0,0,0.7,0
"Aechmea.araneosa",0,0,0,1.1,1.9
"Quesnelia.strobilispica",0.3,0,0,0,0.6
"Vriesea.gracilior",0,0,0,0,0.3
"Canistrum.triangulare",0,0,0,0,0
"Portea.petropolitana",0,0,0,0,0
"Acanthostachys.strobilaceae",0,0,0,0,0
"Aechmea.bromeliifolia",0,0,0,0,0
"Tillandsia.geminifolia",0,0,0,0,0
"Vriesea.simplex",0,0,0,0,0
"Aechmea.pineliana",0,0,0,0,0
"Aechmea.victoriana",0,0,0,0,0.2
"Aechmea.triangularis",0,0,0,0,0.2
