"esp","ID","especie","Familia.planta","Genero.planta","Especie.planta.nuevo","interaccionn","interaccion","Aceptado","Bases.de.datos","sp.armonizado","genero.x","genero.y","orden","familia"
"Agapostemon sp1 M PL 005","M_005","Agapostemon.sp1.M.PL.005","Brassicaceae","Stanleya","Stanleya pinnata var. pinnata",1,1,NA,NA,"Agapostemon sp1 M PL 005","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon sp1 M PL 005","M_005","Agapostemon.sp1.M.PL.005","Rosaceae","Prunus","Prunus virginiana var. demissa",1,1,NA,NA,"Agapostemon sp1 M PL 005","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon sp1 M PL 040","M_040","Agapostemon.sp1.M.PL.040","Rubiaceae","Portlandia","Portlandia grandiflora",1,1,NA,NA,"Agapostemon sp1 M PL 040","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon sp1 M PL 040","M_040","Agapostemon.sp1.M.PL.040",NA,NA,"Unidentified sp15 M PL 040",1,1,NA,NA,"Agapostemon sp1 M PL 040","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon splendens","M_005","Agapostemon.splendens","Asteraceae","Taraxacum","Taraxacum officinale",1,1,NA,NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon splendens","M_062","Agapostemon.splendens","Commelinaceae","Tradescantia","Tradescantia virginiana",1,1,NA,NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon splendens","M_005","Agapostemon.splendens","Rosaceae","Rosa","Rosa acicularis",1,1,NA,NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon splendens","M_005","Agapostemon.splendens","Malvaceae","Sphaeralcea","Sphaeralcea coccinea",1,1,NA,NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon splendens","M_005","Agapostemon.splendens",NA,NA,"Pentstemon glaber",1,1,NA,NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apocynaceae","Asclepias","Asclepias tuberosa",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apocynaceae","Asclepias","Asclepias purpurascens",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Ranunculaceae","Clematis","Clematis virginiana",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Ranunculaceae","Delphinium","Delphinium tricorne",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apocynaceae","Asclepias","Asclepias verticillata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Arnoglossum","Arnoglossum atriplicifolium",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Anthemis","Anthemis cotula",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Ranunculaceae","Clematis","Clematis pitcheri",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Orobanchaceae","Castilleja","Castilleja coccinea",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apocynaceae","Apocynum","Apocynum androsaemifolium",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Symphyotrichum","Symphyotrichum boreale",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apocynaceae","Asclepias","Asclepias syriaca",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apocynaceae","Asclepias","Asclepias sullivantii",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Lythraceae","Ammannia","Ammannia coccinea",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Lamiaceae","Blephilia","Blephilia ciliata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Orchidaceae","Cypripedium","Cypripedium parviflorum var. pubescens",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Rubiaceae","Cephalanthus","Cephalanthus occidentalis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Bidens","Bidens laevis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apocynaceae","Apocynum","Apocynum cannabinum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Symphyotrichum","Symphyotrichum anomalum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Ranunculaceae","Aquilegia","Aquilegia canadensis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Plantaginaceae","Collinsia","Collinsia verna",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Rosaceae","Aruncus","Aruncus sylvester",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Boraginaceae","Cynoglossum","Cynoglossum officinale",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
