"esp","ID","especie","Familia.planta","Genero.planta","Especie.planta.nuevo","interaccionn","interaccion","Aceptado","Bases.de.datos","sp.armonizado"
"Acalyptrate sp1 M PL 062","M_060","Acalyptrate.sp1.M.PL.062","Euphorbiaceae","Stillingia","Stillingia lineata",1,1,NA,NA,"Acalyptrate sp1 M PL 062"
"Acalyptus sp1 M PL 044","M_044","Acalyptus.sp1.M.PL.044","Fagaceae","Castanopsis","Castanopsis sieboldii",1,1,NA,NA,"Acalyptus sp1 M PL 044"
"Acalyptus sp1 M PL 044","M_044","Acalyptus.sp1.M.PL.044","Theaceae","Schima","Schima wallichii",1,1,NA,NA,"Acalyptus sp1 M PL 044"
"Acalyptus sp1 M PL 044","M_044","Acalyptus.sp1.M.PL.044",NA,NA,"Musaenda parviflora",1,1,NA,NA,"Acalyptus sp1 M PL 044"
"Acamptocladius submontanus","M_009","Acamptocladius.submontanus","Rosaceae","Potentilla","Potentilla crantzii",1,1,NA,NA,"Acamptocladius submontanus"
"Acanthosoma denticauda","M_057","Acanthosoma.denticauda",NA,NA,"Aralta elata",1,1,NA,NA,"Acanthosoma denticauda"
"Acarina sp1 M PL 020","M_020","Acarina.sp1.M.PL.020","Salicaceae","Salix","Salix arctica",1,1,NA,NA,"Acarina sp1 M PL 020"
"Acarina sp4 M PL 020","M_020","Acarina.sp4.M.PL.020","Saxifragaceae","Saxifraga","Saxifraga oppositifolia",1,1,NA,NA,"Acarina sp4 M PL 020"
"Achaea finita","M_060","Achaea.finita","Sapotaceae","Sideroxylon","Sideroxylon puberulum",1,1,NA,NA,"Achaea finita"
"Achalarus lycidas","M_062","Achalarus.lycidas","Ranunculaceae","Thalictrum","Thalictrum dasycarpum",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Rosaceae","Geum","Geum vernum",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Alismataceae","Sagittaria","Sagittaria latifolia",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Apiaceae","Thaspium","Thaspium trifoliatum",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Apiaceae","Thaspium","Thaspium trifoliatum var. aureum",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Campanulaceae","Triodanis","Triodanis perfoliata",1,1,NA,NA,"Achalarus lycidas"
"Achalarus lycidas","M_062","Achalarus.lycidas","Celastraceae","Celastrus","Celastrus scandens",1,1,NA,NA,"Achalarus lycidas"
