"ID","plantas"
"M_001","Acaena.pinnatifida"
"M_001","Adesmia.aconcaguensis"
"M_001","Adesmia.brachysemon"
"M_001","Adesmia.conferta"
"M_001","Adesmia.exilis"
"M_001","Adesmia.montana"
"M_001","Adesmia.radicifolia"
"M_001","Alstromemeria.pallida"
"M_001","Anarthrophyllum.cumingii"
"M_001","Asteriscium.aemocarpon"
"M_001","Astragalus.curvicaulis"
"M_001","Astragalus.sp"
"M_001","Barneoudia.chilensis"
"M_001","Barneoudia.major"
"M_001","Berberis.empetrifolia"
"M_001","Berberis.montana"
"M_001","Bowlesia.tropaeolifolia"
"M_001","Calandrinia.affinis"
"M_001","Calandrinia.uspallatensis"
"M_001","Calceolaria.arachnoides"
"M_001","Calceolaria.biflora"
"M_001","Calceolaria.montana"
"M_001","Calceolaria.sp"
"M_001","Cardamine.nivalis"
"M_001","Cerastium.arvense"
"M_001","Chaetanthera.euphrasioides"
"M_001","Chaetanthera.microphylla"
"M_001","Chuquiraga.oppositifolia"
"M_001","Clarkia.tenella"
"M_001","Collomia.biflora"
"M_001","Cynoglossum.creticum"
"M_001","Erodium.cicutarium"
"M_001","Euphorbia.portulacoides"
"M_001","Haplopappus.chysanthemifolius"
"M_001","Haplopappus.sericeus"
"M_001","Hippeastrum.uniflorum"
"M_001","Hypochoeris.sp"
"M_001","Lathyrus.subandinus"
"M_001","Lepidium.suffruticosum"
"M_001","Leuceria.landbeckii"
"M_001","Leucocoryne.ixioides"
"M_001","Leucocoryne.pauciflora"
"M_001","Loasa.heterophylla"
"M_001","Loasa.sigmoidea"
"M_001","Lupinus.microcarpus"
"M_001","Madia.sativa"
"M_001","Malesherbia.linearifolius"
"M_001","Mulinum.spinosum"
"M_001","Mustisia.acerosa"
"M_001","Mustisia.sinuata"
"M_001","Mustisia.subulata"
"M_001","Nardophyllum.lanatum"
"M_001","Nassauvia.heterophylla"
"M_001","Nothoscordum.andinum"
"M_001","Oenothera.acaulis"
"M_001","Oxalis.geminata"
"M_001","Oxalis.sp2"
"M_001","Perezia.carthamoides"
"M_001","Phacelia.secunda"
"M_001","Quinchamalium.chilensis"
"M_001","Rhodophiala.montana"
"M_001","Salpiglossus.sp"
"M_001","Sanicula.graveolens"
"M_001","Schizanthus.garhamii"
"M_001","Schizanthus.hookeri"
"M_001","Scypanthus.elegans"
"M_001","Senecio.bustillosianus"
"M_001","Senecio.erucaeformis"
"M_001","Senecio.francisci"
"M_001","Senecio.lithostaurus"
"M_001","Sisyrinchium.arenarium"
"M_001","Sisyrinchium.junceum"
"M_001","Sisyrinchium.philippii"
"M_001","Solanum.tomatillo"
"M_001","Solenomelus.sisyrinchium"
"M_001","Stachys.albicaulis"
"M_001","Tetraglochin.alatum"
"M_001","Trichocereus.chiloensis"
"M_001","Tristagama.bivalve"
"M_001","Tristagama.nivale"
"M_001","Tristagama.sessile"
"M_001","Tropaeolum.polyphyllum"
"M_001","Tropaeolum.sessilifolium"
"M_001","Tropaeolum.tricolor"
"M_001","Valeriana.gracileps"
"M_001","Verbena.scoparia"
"M_001","Viola.atropurpurea"
"M_002","Acaena.pinnatifida"
"M_002","Anarthrophyllum.cumingii"
"M_002","Anarthrophyllum.gayanum"
"M_002","Astragalus.curvicaulis"
"M_002","Azorella.bolacina"
"M_002","Azorella.monantha"
"M_002","Berberis.empetrifolia"
"M_002","Calandrinia.affinis"
"M_002","Calandrinia.dianthoides"
"M_002","Calandrinia.sericea"
"M_002","Calceolaria.arachnoides"
"M_002","Calceolaria.biflora"
"M_002","Cardamine.nivalis"
"M_002","Cerastium.arvense"
"M_002","Cerastium.montioides"
"M_002","Chaetanthera.euphrasioides"
"M_002","Chaetanthera.pusilla"
"M_002","Chuquiraga.oppositifolia"
"M_002","Discaria.nana"
"M_002","Erigeron.andicola"
"M_002","Euphorbia.portulacoides"
"M_002","L.acaulis"
"M_002","Loasa.caespitosa"
"M_002","Mustisia.sinuata"
"M_002","Nassauvia.axillaris"
"M_002","Nassauvia.heterophylla"
"M_002","Nastanthus.spathulatus"
"M_002","Nothoscordum.andinum"
"M_002","Oxalis.compacta"
"M_002","Oxalis.geminata"
"M_002","Ranunculus.peduncularis"
"M_002","Rhodophiala.montana"
"M_002","Sanicula.graveolens"
"M_002","Senecio.bustillosianus"
"M_002","Senecio.crithmoides"
"M_002","Senecio.erucaeformis"
"M_002","Senecio.francisci"
"M_002","Senecio.sp"
"M_002","Stenodraba.stenophylla"
"M_002","Tristagama.nivale"
"M_002","Tropaeolum.polyphyllum"
"M_002","Viola.philippii"
"M_002","Werneria.pygmaea"
"M_003","Acaena.pinnatifida"
"M_003","Adesmia.capitellata"
"M_003","Adesmia.glomerula"
"M_003","Azorella.madreporica"
"M_003","Caiophora.coronata"
"M_003","Calandrinia.affinis"
"M_003","Calandrinia.caespitosa"
"M_003","Calandrinia.occulta"
"M_003","Calandrinia.picta"
"M_003","Calandrinia.sericea"
"M_003","Cardamine.nivalis"
"M_003","Cerastium.arvense"
"M_003","Cerastium.montioides"
"M_003","Chaetanthera.apiculata"
"M_003","Chaetanthera.flabellata"
"M_003","Chaetanthera.lycopodioides"
"M_003","Draba.gilliesii"
"M_003","Draba.tenuis"
"M_003","Erigeron.andicola"
"M_003","Junellia.uniflora"
"M_003","L.acaulis"
"M_003","Leuceria.salina"
"M_003","Loasa.caespitosa"
"M_003","Nassauvia.lagascae"
"M_003","Nassauvia.pinnigera"
"M_003","Nassauvia.pungens"
"M_003","Nastanthus.aglomeratus"
"M_003","Nastanthus.spathulatus"
"M_003","Nototriche.compacta"
"M_003","Oreopolus.glacialis"
"M_003","Oxalis.compacta"
"M_003","Oxalis.sp1"
"M_003","Phacelia.secunda"
"M_003","Pozoa.coriacea"
"M_003","Ranunculus.peduncularis"
"M_003","Senecio.francisci"
"M_003","Tropaeolum.polyphyllum"
"M_003","Valeriana.radicalis"
"M_003","Viola.atropurpurea"
"M_003","Viola.montagnei"
"M_003","Viola.philippii"
"M_004","Aralia.nudicaulis"
"M_004","Chimaphila.umbellata"
"M_004","Clintonia.borealis"
"M_004","Cornus.canadensis"
"M_004","Cypripedium.acaule"
