"especie","ID","genero","Familia","DIT","umbral","size","es.umbral"
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,1,"Grande",FALSE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,1,"Grande",FALSE
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,1,"Grande",FALSE
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,1,"Grande",FALSE
"Apis.mellifera","M_005","Apis","Apidae",2.9,1,"Grande",FALSE
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,1,"Grande",FALSE
"Bombus.centralis","M_005","Bombus","Apidae",3.06,1,"Grande",FALSE
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,1,"Grande",FALSE
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,1,"Grande",FALSE
"Bombus.hunti","M_005","Bombus","Apidae",5.13,1,"Grande",FALSE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,1,"Grande",FALSE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,1,"Grande",FALSE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,1,"Grande",FALSE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,1,"Grande",FALSE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,1,"Grande",FALSE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,1,"Grande",FALSE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,1,"Grande",FALSE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,1,"Grande",FALSE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,1,"Grande",FALSE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,1,"Grande",FALSE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,1,"Grande",FALSE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,1,"Grande",FALSE
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,2,"Grande",TRUE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,2,"Pequena",TRUE
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,2,"Grande",TRUE
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,2,"Grande",TRUE
"Apis.mellifera","M_005","Apis","Apidae",2.9,2,"Grande",TRUE
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,2,"Grande",TRUE
"Bombus.centralis","M_005","Bombus","Apidae",3.06,2,"Grande",TRUE
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,2,"Grande",TRUE
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,2,"Grande",TRUE
"Bombus.hunti","M_005","Bombus","Apidae",5.13,2,"Grande",TRUE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,2,"Grande",TRUE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,2,"Grande",TRUE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,2,"Grande",TRUE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,2,"Pequena",TRUE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,2,"Grande",TRUE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,2,"Grande",TRUE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,2,"Grande",TRUE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,2,"Grande",TRUE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,2,"Grande",TRUE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,2,"Grande",TRUE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,2,"Pequena",TRUE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,2,"Pequena",TRUE
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,3,"Pequena",TRUE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,3,"Pequena",TRUE
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,3,"Grande",TRUE
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,3,"Pequena",TRUE
"Apis.mellifera","M_005","Apis","Apidae",2.9,3,"Pequena",TRUE
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,3,"Pequena",TRUE
"Bombus.centralis","M_005","Bombus","Apidae",3.06,3,"Grande",TRUE
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,3,"Grande",TRUE
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,3,"Pequena",TRUE
"Bombus.hunti","M_005","Bombus","Apidae",5.13,3,"Grande",TRUE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,3,"Grande",TRUE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,3,"Grande",TRUE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,3,"Grande",TRUE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,3,"Pequena",TRUE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,3,"Grande",TRUE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,3,"Grande",TRUE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,3,"Pequena",TRUE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,3,"Grande",TRUE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,3,"Pequena",TRUE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,3,"Pequena",TRUE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,3,"Pequena",TRUE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,3,"Pequena",TRUE
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,4,"Pequena",TRUE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,4,"Pequena",TRUE
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,4,"Grande",TRUE
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,4,"Pequena",TRUE
"Apis.mellifera","M_005","Apis","Apidae",2.9,4,"Pequena",TRUE
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,4,"Pequena",TRUE
"Bombus.centralis","M_005","Bombus","Apidae",3.06,4,"Pequena",TRUE
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,4,"Pequena",TRUE
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,4,"Pequena",TRUE
"Bombus.hunti","M_005","Bombus","Apidae",5.13,4,"Grande",TRUE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,4,"Grande",TRUE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,4,"Pequena",TRUE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,4,"Grande",TRUE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,4,"Pequena",TRUE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,4,"Pequena",TRUE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,4,"Pequena",TRUE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,4,"Pequena",TRUE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,4,"Pequena",TRUE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,4,"Pequena",TRUE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,4,"Pequena",TRUE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,4,"Pequena",TRUE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,4,"Pequena",TRUE
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,5,"Pequena",TRUE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,5,"Pequena",TRUE
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,5,"Pequena",TRUE
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,5,"Pequena",TRUE
"Apis.mellifera","M_005","Apis","Apidae",2.9,5,"Pequena",TRUE
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,5,"Pequena",TRUE
"Bombus.centralis","M_005","Bombus","Apidae",3.06,5,"Pequena",TRUE
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,5,"Pequena",TRUE
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,5,"Pequena",TRUE
"Bombus.hunti","M_005","Bombus","Apidae",5.13,5,"Grande",TRUE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,5,"Grande",TRUE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,5,"Pequena",TRUE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,5,"Grande",TRUE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,5,"Pequena",TRUE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,5,"Pequena",TRUE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,5,"Pequena",TRUE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,5,"Pequena",TRUE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,5,"Pequena",TRUE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,5,"Pequena",TRUE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,5,"Pequena",TRUE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,5,"Pequena",TRUE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,5,"Pequena",TRUE
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,6,"Pequena",FALSE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,6,"Pequena",FALSE
