"especie","ID","genero","Familia","DIT","size","umbral.mediana"
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,"Pequena",3.55
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,"Pequena",3.55
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,"Grande",3.55
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,"Pequena",3.55
"Apis.mellifera","M_005","Apis","Apidae",2.9,"Grande",3.55
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,"Pequena",3.55
"Bombus.centralis","M_005","Bombus","Apidae",3.06,"Grande",3.55
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,"Grande",3.55
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,"Pequena",3.55
"Bombus.hunti","M_005","Bombus","Apidae",5.13,"Grande",3.55
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,"Grande",3.55
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,"Grande",3.55
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,"Grande",3.55
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,"Pequena",3.55
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,"Grande",3.55
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,"Grande",3.55
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,"Pequena",3.55
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,"Grande",3.55
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,"Pequena",3.55
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,"Pequena",3.55
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,"Pequena",3.55
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,"Pequena",3.55
"Agapostemon.splendens","M_062","Agapostemon","Halictidae",2.38,"Pequena",3.55
"Agapostemon.texanus","M_062","Agapostemon","Halictidae",2.04,"Pequena",3.55
"Andrena.arabis","M_062","Andrena","Andrenidae",2.1,"Pequena",3.55
"Andrena.carlini","M_062","Andrena","Andrenidae",2.9,"Grande",3.55
"Andrena.mandibularis","M_062","Andrena","Andrenidae",1.87,"Pequena",3.55
"Andrena.nubecula","M_062","Andrena","Andrenidae",1.17,"Pequena",3.55
"Andrena.personata","M_062","Andrena","Andrenidae",1.2,"Pequena",3.55
"Andrena.pruni","M_062","Andrena","Andrenidae",2.5,"Grande",3.55
"Andrena.spiraeana","M_062","Andrena","Andrenidae",1.94,"Pequena",3.55
"Ashmeadiella.bucconis","M_062","","Megachilidae",1.78,"Pequena",3.55
"Bombus.impatiens","M_062","Bombus","Apidae",4.42,"Grande",3.55
"Bombus.impatiens","M_062","Bombus","Apidae",3.38,"Grande",3.55
"Bombus.pennsylvanicus","M_062","Bombus","Apidae",6,"Grande",3.55
"Bombus.ridingsii","M_062","Bombus","Apidae",5.44,"Grande",3.55
"Calliopsis.andreniformis","M_062","Calliopsis","Andrenidae",1.36,"Pequena",3.55
"Calliopsis.coloradensis","M_062","Calliopsis","Andrenidae",1.65,"Pequena",3.55
"Ceratina.dupla","M_062","Ceratina","Apidae",1.42,"Pequena",3.55
"Colletes.compactus","M_062","Colletes","Colletidae",3.143,"Grande",3.55
"Colletes.similis","M_062","Colletes","Colletidae",2.37,"Pequena",3.55
"Megachile.mendica","M_062","Megachile","Megachilidae",3.3,"Grande",3.55
"Melissodes.agilis","M_062","Melissodes","Apidae",3.24,"Grande",3.55
"Melissodes.coreopsis","M_062","Melissodes","Apidae",2.6,"Grande",3.55
"Osmia.atriventris","M_062","Osmia","Megachilidae",2.08,"Pequena",3.55
"Osmia.collinsiae","M_062","Osmia","Megachilidae",2.7,"Grande",3.55
"Peponapis.pruinosa","M_062","Peponapis","Apidae",3.16,"Grande",3.55
"Alloscirtetica.gayi","M_001","Alloscirtetica","Apidae",3.102,"Pequena",3.55
"Alloscirtetica.rufitarsis","M_001","Alloscirtetica","Apidae",3.36,"Grande",3.55
"Alloscirtetica.sp","M_001","Alloscirtetica","Apidae",2.9,"Pequena",3.55
"Anthidium.chilensis","M_001","Anthidium","Megachilidae",1.2,"Pequena",3.55
"Anthidium.decaspilum","M_001","Anthidium","Megachilidae",3.2,"Pequena",3.55
"Anthidium.funereum","M_001","Anthidium","Megachilidae",3.2,"Pequena",3.55
"Anthidium.sp","M_001","Anthidium","Megachilidae",3.34,"Grande",3.55
"Anthophora.incerta","M_001","Anthophora","Apidae",4.13,"Grande",3.55
"Anthophora.sp","M_001","Anthophora","Apidae",4.13,"Grande",3.55
"Bombus.dahlbomii","M_001","Bombus","Apidae",6.01,"Grande",3.55
"Bombus.dahlbomii","M_001","Bombus","Apidae",6.1,"Grande",3.55
"Cadeguala.occidentalis","M_001","Cadeguala","Colletidae",3.3,"Grande",3.55
"Caenohalictus.sp","M_001","Caenohalictus","Halictidae",1.3,"Pequena",3.55
"Caenohalictus.sp2","M_001","Caenohalictus","Halictidae",1.3,"Pequena",3.55
"Caenohalictus.sp3","M_001","Caenohalictus","Halictidae",1.3,"Pequena",3.55
"Centris.cineraria","M_001","Centris","Apidae",5.108,"Grande",3.55
"Centris.nigerrima","M_001","Centris","Apidae",4.836,"Grande",3.55
"Centris.sp","M_001","Centris","Apidae",5.4,"Grande",3.55
"Colletes.araucariae","M_001","Colletes","Colletidae",2.417,"Pequena",3.55
"Colletes.sp","M_001","Colletes","Colletidae",2.9,"Pequena",3.55
"Dialictus.sp","M_001","Dialictus","Halictidae",1.2,"Pequena",3.55
"Liphanthus.sabulosus","M_001","Liphanthus","Andrenidae",1.237,"Pequena",3.55
"Megachile.semirufa","M_001","Megachile","Megachilidae",4.19,"Grande",3.55
"Megachile.sp1","M_001","Megachile","Megachilidae",3.2,"Pequena",3.55
"Megachile.sp2","M_001","Megachile","Megachilidae",3.2,"Pequena",3.55
"Ruizantheda.mutabilis","M_001","Ruizantheda","Halictidae",1.68,"Pequena",3.55
"Alloscirtetica.rufitarsis","M_002","Alloscirtetica","Apidae",3.36,"Grande",3.55
"Alloscirtetica.sp","M_002","Alloscirtetica","Apidae",2.9,"Pequena",3.55
"Anthidium.funereum","M_002","Anthidium","Megachilidae",3.2,"Pequena",3.55
"Anthidium.sp","M_002","Anthidium","Megachilidae",3.34,"Grande",3.55
"Bombus.dahlbomii","M_002","Bombus","Apidae",6.01,"Grande",3.55
"Bombus.dahlbomii","M_002","Bombus","Apidae",6.1,"Grande",3.55
"Caenohalictus.sp","M_002","Caenohalictus","Halictidae",1.3,"Pequena",3.55
"Centris.cineraria","M_002","Centris","Apidae",5.108,"Grande",3.55
"Centris.nigerrima","M_002","Centris","Apidae",4.836,"Grande",3.55
"Colletes.sp","M_002","Colletes","Colletidae",2.9,"Pequena",3.55
"Megachile.semirufa","M_002","Megachile","Megachilidae",4.19,"Grande",3.55
"Megachile.sp1","M_002","Megachile","Megachilidae",3.2,"Pequena",3.55
"Megachile.sp2","M_002","Megachile","Megachilidae",3.2,"Pequena",3.55
"Megachile.sp4","M_002","Megachile","Megachilidae",3.2,"Pequena",3.55
"Megachile.sp5","M_002","Megachile","Megachilidae",3.2,"Pequena",3.55
"Amegilla.albigena","M_015","Amegilla","Apidae",3.02,"Grande",3.55
"Amegilla.quadrifasciata","M_015","Amegilla","Apidae",3.64,"Grande",3.55
"Andrena.alfkenella","M_015","Andrena","Andrenidae",1.33,"Pequena",3.55
"Andrena.bicolor","M_015","Andrena","Andrenidae",2.05,"Grande",3.55
"Andrena.combaella","M_015","Andrena","Andrenidae",2.34,"Grande",3.55
"Andrena.flavipes","M_015","Andrena","Andrenidae",1.71,"Pequena",3.55
"Andrena.hattorfiana","M_015","Andrena","Andrenidae",2.71,"Grande",3.55
"Andrena.nana","M_015","Andrena","Andrenidae",1.58,"Pequena",3.55
"Andrena.nigroaenea","M_015","Andrena","Andrenidae",2.97,"Grande",3.55
"Andrena.nigroaenea","M_015","Andrena","Andrenidae",2.84,"Grande",3.55
"Andrena.simontornyella","M_015","Andrena","Andrenidae",1.31,"Pequena",3.55
"Andrena.taraxaci","M_015","Andrena","Andrenidae",1.68,"Pequena",3.55
"Andrena.ventricosa","M_015","Andrena","Andrenidae",1.63,"Pequena",3.55
"Anthidiellum.strigatum.luteum","M_015","Anthidiellum","Megachilidae",2.44,"Grande",3.55
"Anthidium.manicatum","M_015","Anthidium","Megachilidae",3.44,"Grande",3.55
"Anthophora.atroalba","M_015","Anthophora","Apidae",3.67,"Grande",3.55
"Apis.mellifera","M_015","Apis","Apidae",2.9,"Grande",3.55
"Bombus.terrestris","M_015","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.terrestris","M_015","Bombus","Apidae",4.7,"Grande",3.55
"Ceratina.cucurbitina","M_015","Ceratina","Apidae",1.36,"Pequena",3.55
"Ceratina.cyanea","M_015","Ceratina","Apidae",1.24,"Pequena",3.55
"Ceratina.nigrolabiata","M_015","Ceratina","Apidae",1.34,"Pequena",3.55
"Chelostoma.appendiculatum","M_015","Chelostoma","Megachilidae",0.95,"Pequena",3.55
"Eucera.clypeata","M_015","Eucera","Apidae",2.75,"Grande",3.55
"Eucera.nigrescens.contraria","M_015","Eucera","Apidae",3.34,"Grande",3.55
"Eucera.nigrilabris.rufitarsis","M_015","Eucera","Apidae",3.65,"Grande",3.55
"Eucera.seminuda","M_015","Eucera","Apidae",2.65,"Grande",3.55
"Habropoda.tarsata","M_015","Habropoda","Apidae",3,"Grande",3.55
"Halictus.scabiosae","M_015","Halictus","Halictidae",2.4,"Grande",3.55
"Halictus.scabiosae","M_015","Halictus","Halictidae",2.5,"Grande",3.55
"Halictus.smaragdulus","M_015","Halictus","Halictidae",1.11,"Pequena",3.55
"Halictus.subauratus","M_015","Halictus","Halictidae",1.68,"Pequena",3.55
"Heriades.crenulatus","M_015","Heriades","Megachilidae",1.53,"Pequena",3.55
"Heriades.trucorum","M_015","Heriades","Megachilidae",1.64,"Pequena",3.55
"Hylaeus.imparilis","M_015","Hylaeus","Colletidae",0.99,"Pequena",3.55
"Hylaeus.punctatus","M_015","Hylaeus","Colletidae",1.19,"Pequena",3.55
"Hylaeus.signatus","M_015","Hylaeus","Colletidae",1.81,"Pequena",3.55
"Hylaeus.variegatus","M_015","Hylaeus","Colletidae",2.12,"Grande",3.55
"Lasioglossum.aeratum","M_015","Lasioglossum","Halictidae",0.92,"Pequena",3.55
"Lasioglossum.brevicome","M_015","Lasioglossum","Halictidae",1.38,"Pequena",3.55
"Lasioglossum.laticeps.hellenicum","M_015","Lasioglossum","Halictidae",1.47,"Pequena",3.55
"Lasioglossum.limbellum","M_015","Lasioglossum","Halictidae",1.32,"Pequena",3.55
"Lasioglossum.lineare","M_015","Lasioglossum","Halictidae",1.35,"Pequena",3.55
"Lasioglossum.lucidulum","M_015","Lasioglossum","Halictidae",1.28,"Pequena",3.55
"Lasioglossum.malachurum","M_015","Lasioglossum","Halictidae",1.65,"Pequena",3.55
"Lasioglossum.marginatum","M_015","Lasioglossum","Halictidae",1.65,"Pequena",3.55
"Lasioglossum.mediterraneum","M_015","Lasioglossum","Halictidae",3.34,"Grande",3.55
"Lasioglossum.mesosclerum","M_015","Lasioglossum","Halictidae",1.25,"Pequena",3.55
"Lasioglossum.nigripes","M_015","Lasioglossum","Halictidae",1.95,"Grande",3.55
"Lasioglossum.nitidulum.fudakowskii","M_015","Lasioglossum","Halictidae",1.24,"Pequena",3.55
"Lasioglossum.pauxillum","M_015","Lasioglossum","Halictidae",1.115,"Pequena",3.55
"Lasioglossum.politum","M_015","Lasioglossum","Halictidae",0.85,"Pequena",3.55
"Lasioglossum.pygmaeum.patulum","M_015","Lasioglossum","Halictidae",1.14,"Pequena",3.55
"Lasioglossum.quadrinotatum","M_015","Lasioglossum","Halictidae",1.72,"Pequena",3.55
"Lasioglossum.villosulum","M_015","Lasioglossum","Halictidae",1.32,"Pequena",3.55
"Lasioglossum.zonulum","M_015","Lasioglossum","Halictidae",1.97,"Grande",3.55
"Megachile.pilidens","M_015","Megachile","Megachilidae",2.67,"Grande",3.55
"Osmia.aurulenta","M_015","Osmia","Megachilidae",2.78,"Grande",3.55
"Osmia.caerulescens","M_015","Osmia","Megachilidae",2.34,"Grande",3.55
"Osmia.melanogaster","M_015","Osmia","Megachilidae",2.84,"Grande",3.55
"Pseudapis.diversipes","M_015","Pseudapis","Halictidae",1.78,"Pequena",3.55
"Rhodanthidium.septemdentatum","M_015","Rhodanthidium","Megachilidae",3.28,"Grande",3.55
"Rophites.quinquespinosus","M_015","Rophites","Halictidae",2.13,"Grande",3.55
"Systropha.planidens","M_015","Systropha","Halictidae",2.17,"Grande",3.55
"Xylocopa.iris","M_015","Xylocopa","Apidae",4.33,"Grande",3.55
"Xylocopa.violacea","M_015","Xylocopa","Apidae",7.8,"Grande",3.55
"Amegilla.fasciata","M_016","Amegilla","Apidae",3.29,"Grande",3.55
"Amegilla.quadrifasciata","M_016","Amegilla","Apidae",3.64,"Grande",3.55
"Andrena.bicolor","M_016","Andrena","Andrenidae",2.05,"Pequena",3.55
"Andrena.bimaculata","M_016","Andrena","Andrenidae",2.72,"Grande",3.55
"Andrena.hispania","M_016","Andrena","Andrenidae",2.95,"Grande",3.55
"Andrena.nigroaenea","M_016","Andrena","Andrenidae",2.97,"Grande",3.55
"Andrena.nigroaenea","M_016","Andrena","Andrenidae",2.84,"Grande",3.55
"Anthophora.dispar","M_016","Anthophora","Apidae",3.67,"Grande",3.55
"Apis.mellifera","M_016","Apis","Apidae",2.9,"Grande",3.55
"Bombus.lucorum","M_016","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.lucorum","M_016","Bombus","Apidae",3.75,"Grande",3.55
"Ceratina.cucurbitina","M_016","Ceratina","Apidae",1.36,"Pequena",3.55
"Ceratina.cyanea","M_016","Ceratina","Apidae",1.24,"Pequena",3.55
"Colletes.acutus","M_016","Colletes","Colletidae",2.57,"Pequena",3.55
"Colletes.fodiens","M_016","Colletes","Colletidae",2.6,"Pequena",3.55
"Colletes.succintus","M_016","Colletes","Colletidae",3,"Grande",3.55
"Dasypoda.cingulata","M_016","","Melittidae",2.17,"Pequena",3.55
"Halictus.fulvipes","M_016","Halictus","Halictidae",2.13,"Pequena",3.55
"Halictus.quadricinctus","M_016","Halictus","Halictidae",2.84,"Grande",3.55
"Halictus.scabiosae","M_016","Halictus","Halictidae",2.4,"Pequena",3.55
"Halictus.scabiosae","M_016","Halictus","Halictidae",2.5,"Pequena",3.55
"Halictus.smaragdulus","M_016","Halictus","Halictidae",1.11,"Pequena",3.55
"Lasioglossum.albocinctum","M_016","Lasioglossum","Halictidae",2.28,"Pequena",3.55
"Lasioglossum.pallens","M_016","Lasioglossum","Halictidae",1.59,"Pequena",3.55
"Lasioglossum.punctatissimum","M_016","Lasioglossum","Halictidae",1.21,"Pequena",3.55
"Lasioglossum.villosulum","M_016","Lasioglossum","Halictidae",1.32,"Pequena",3.55
"Megachile.pilidens","M_016","Megachile","Megachilidae",2.67,"Pequena",3.55
"Xylocopa.cantabrita","M_016","Xylocopa","Apidae",5.71,"Grande",3.55
"Xylocopa.violacea","M_016","Xylocopa","Apidae",7.8,"Grande",3.55
"Amegilla.quadrifasciata","M_050","Amegilla","Apidae",3.64,"Grande",3.55
"Apis.mellifera","M_050","Apis","Apidae",2.9,"Pequena",3.55
"Amegilla.quadrifasciata","M_039","Amegilla","Apidae",3.64,"Grande",3.55
"Apis.mellifera","M_039","Apis","Apidae",2.9,"Pequena",3.55
"Andrena.alleghaniensis","M_033","Andrena","Andrenidae",1.44,"Pequena",3.55
"Andrena.carlini","M_033","Andrena","Andrenidae",2.9,"Grande",3.55
"Andrena.carolina","M_033","Andrena","Andrenidae",2.09,"Pequena",3.55
"Andrena.mandibularis","M_033","Andrena","Andrenidae",1.87,"Pequena",3.55
"Andrena.vicina","M_033","Andrena","Andrenidae",2.54,"Pequena",3.55
"Apis.mellifera","M_033","Apis","Apidae",2.9,"Grande",3.55
"Pyrobombus.impatiens","M_033","Pyrobombus","Apidae",4.42,"Grande",3.55
"Pyrobombus.ternarius","M_033","Pyrobombus","Apidae",3.17,"Grande",3.55
"Andrena.arabis","M_025","Andrena","Andrenidae",2.1,"Pequena",3.55
"Andrena.carlini","M_025","Andrena","Andrenidae",2.9,"Grande",3.55
"Andrena.dunningi","M_025","Andrena","Andrenidae",2.64,"Grande",3.55
"Andrena.erigeniae","M_025","Andrena","Andrenidae",2.1,"Pequena",3.55
"Andrena.nasonii","M_025","Andrena","Andrenidae",1.59,"Pequena",3.55
"Andrena.personata","M_025","Andrena","Andrenidae",1.2,"Pequena",3.55
"Andrena.violae","M_025","Andrena","Andrenidae",2.3,"Pequena",3.55
"Apis.mellifera","M_025","Apis","Apidae",2.9,"Grande",3.55
"Augochlora.pura","M_025","Augochlora","Halictidae",1.64,"Pequena",3.55
"Bombus.bimaculatus","M_025","Bombus","Apidae",4.07,"Grande",3.55
"Bombus.pennsylvanicus","M_025","Bombus","Apidae",6,"Grande",3.55
"Ceratina.calcarata","M_025","Ceratina","Apidae",1.41,"Pequena",3.55
"Lassioglossum.fuscipenne","M_025","Lassioglossum","Halictidae",2.1,"Pequena",3.55
"Osmia.atriventris","M_025","Osmia","Megachilidae",2.08,"Pequena",3.55
"Osmia.lignaria","M_025","Osmia","Megachilidae",2.9,"Grande",3.55
"Osmia.simillima","M_025","Osmia","Megachilidae",2.53,"Grande",3.55
"Xylocopa.virginica.virginica","M_025","Xylocopa","Apidae",5.64,"Grande",3.55
"Andrena.barbilabris","M_047","Andrena","Andrenidae",2.1,"Pequena",3.55
"Andrena.clarkella","M_047","Andrena","Andrenidae",3.1,"Grande",3.55
"Andrena.fulva","M_047","Andrena","Andrenidae",2.86,"Pequena",3.55
"Andrena.fuscipes","M_047","Andrena","Andrenidae",2,"Pequena",3.55
"Andrena.haemorrhoa","M_047","Andrena","Andrenidae",2.54,"Pequena",3.55
"Andrena.lapponica","M_047","Andrena","Andrenidae",2.66,"Pequena",3.55
"Andrena.nigroaenea","M_047","Andrena","Andrenidae",2.97,"Pequena",3.55
"Andrena.nigroaenea","M_047","Andrena","Andrenidae",2.84,"Pequena",3.55
"Andrena.wilkella","M_047","Andrena","Andrenidae",2.34,"Pequena",3.55
"Apis.mellifera","M_047","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.bohemicus","M_047","Bombus","Apidae",4.1,"Grande",3.55
"Bombus.jonellus","M_047","Bombus","Apidae",3.99,"Grande",3.55
"Bombus.lapidarius","M_047","Bombus","Apidae",3.98,"Grande",3.55
"Bombus.lucorum","M_047","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.lucorum","M_047","Bombus","Apidae",3.75,"Grande",3.55
"Bombus.muscorum","M_047","Bombus","Apidae",3.84,"Grande",3.55
"Bombus.pascuorum","M_047","Bombus","Apidae",3.72,"Grande",3.55
"Bombus.pratorum","M_047","Bombus","Apidae",4.21,"Grande",3.55
"Bombus.rupestris","M_047","Bombus","Apidae",5.81,"Grande",3.55
"Bombus.terrestris","M_047","Bombus","Apidae",4.78,"Grande",3.55
